ID,Name,Value,Language
405,01_SV,Yes,Armenian (Eastern)
404,02_VS,Yes,Armenian (Eastern)
375,03_VO,Yes,Armenian (Eastern)
376,04_OV,Yes,Armenian (Eastern)
378,05_SVO,Yes,Armenian (Eastern)
379,06_SOV,Yes,Armenian (Eastern)
380,07_VSO,Yes,Armenian (Eastern)
381,08_VOS,Yes,Armenian (Eastern)
382,09_OSV,Yes,Armenian (Eastern)
383,10_OVS,Yes,Armenian (Eastern)
390,11_P NP,Yes,Armenian (Eastern)
391,12_NP P,Yes,Armenian (Eastern)
437,13_A N,Yes,Armenian (Eastern)
377,14_N A,No,Armenian (Eastern)
384,15_Num N,Yes,Armenian (Eastern)
385,16_N Num,No,Armenian (Eastern)
386,17_Dem N,Yes,Armenian (Eastern)
387,18_N Dem,No,Armenian (Eastern)
394,19_Poss N,Yes,Armenian (Eastern)
395,20_N Poss,No,Armenian (Eastern)
426,21_Pron.Poss N,Yes,Armenian (Eastern)
425,22_N Pron.Poss,No,Armenian (Eastern)
406,A 01_Attr.Adj Agr,No,Armenian (Eastern)
407,A 02_Pred.Adj Agr ,No,Armenian (Eastern)
396,A 03_Deg A,Yes,Armenian (Eastern)
397,A 04_A Deg,No,Armenian (Eastern)
388,C 01_C Clause,Yes,Armenian (Eastern)
389,C 02_Clause C,No,Armenian (Eastern)
392,C 03_Adv.Sub Clause,Yes,Armenian (Eastern)
393,C 04_Clause Adv.Sub,No,Armenian (Eastern)
408,Extra Examples,NA,Armenian (Eastern)
524,ISO 639-3 Code,hye,Armenian (Eastern)
434,N2 01_Num N_(indef),Yes,Armenian (Eastern)
433,N2 02_N Num_(indef),No,Armenian (Eastern)
435,N2 03_Num N_(def),Yes,Armenian (Eastern)
436,N2 04_N Num_(def),No,Armenian (Eastern)
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Armenian (Eastern)
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Armenian (Eastern)
440,N2 F3_Def NumN or NNum can be bare,No,Armenian (Eastern)
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,Yes,Armenian (Eastern)
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Armenian (Eastern)
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Armenian (Eastern)
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Armenian (Eastern)
398,N3 01_ Dem A N,Yes,Armenian (Eastern)
399,N3 02_Dem N A,Yes,Armenian (Eastern)
403,N3 03_ N A Dem,No,Armenian (Eastern)
402,N3 04_N Dem A,Yes,Armenian (Eastern)
400,N3 05_A Dem N,Yes,Armenian (Eastern)
401,N3 06_A N Dem,Yes,Armenian (Eastern)
427,N3 07_Dem Num N,Yes,Armenian (Eastern)
428,N3 08_Dem N Num,No,Armenian (Eastern)
429,N3 09_ N Num Dem,No,Armenian (Eastern)
430,N3 10_N Dem Num,No,Armenian (Eastern)
431,N3 11_Num Dem N,No,Armenian (Eastern)
432,N3 12_Num N Dem,No,Armenian (Eastern)
415,Neg 01_ Neg is Part (...) Verb,Yes,Armenian (Eastern)
416,Neg 02_Neg is V (...) Part,No,Armenian (Eastern)
