ID,Name,Value,Language
405,01_SV,Yes,Armenian
404,02_VS,Yes,Armenian
375,03_VO,Yes,Armenian
376,04_OV,Yes,Armenian
378,05_SVO,Yes,Armenian
379,06_SOV,Yes,Armenian
380,07_VSO,Yes,Armenian
381,08_VOS,Yes,Armenian
382,09_OSV,Yes,Armenian
383,10_OVS,Yes,Armenian
390,11_P NP,Yes,Armenian
391,12_NP P,Yes,Armenian
437,13_A N,Yes,Armenian
377,14_N A,No,Armenian
384,15_Num N,Yes,Armenian
385,16_N Num,No,Armenian
386,17_Dem N,Yes,Armenian
387,18_N Dem,No,Armenian
394,19_Poss N,Yes,Armenian
395,20_N Poss,No,Armenian
426,21_Pron.Poss N,Yes,Armenian
425,22_N Pron.Poss,No,Armenian
406,A 01_Attr.Adj Agr,No,Armenian
407,A 02_Pred.Adj Agr ,No,Armenian
396,A 03_Deg A,Yes,Armenian
397,A 04_A Deg,No,Armenian
388,C 01_C Clause,Yes,Armenian
389,C 02_Clause C,No,Armenian
392,C 03_Adv.Sub Clause,Yes,Armenian
393,C 04_Clause Adv.Sub,No,Armenian
408,Extra Examples,NA,Armenian
524,ISO 639-3 Code,hye,Armenian
434,N2 01_Num N_(indef),Yes,Armenian
433,N2 02_N Num_(indef),No,Armenian
435,N2 03_Num N_(def),Yes,Armenian
436,N2 04_N Num_(def),No,Armenian
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Armenian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Armenian
440,N2 F3_Def NumN or NNum can be bare,No,Armenian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,Yes,Armenian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Armenian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Armenian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Armenian
398,N3 01_ Dem A N,Yes,Armenian
399,N3 02_Dem N A,Yes,Armenian
403,N3 03_ N A Dem,No,Armenian
402,N3 04_N Dem A,Yes,Armenian
400,N3 05_A Dem N,Yes,Armenian
401,N3 06_A N Dem,Yes,Armenian
427,N3 07_Dem Num N,Yes,Armenian
428,N3 08_Dem N Num,No,Armenian
429,N3 09_ N Num Dem,No,Armenian
430,N3 10_N Dem Num,No,Armenian
431,N3 11_Num Dem N,No,Armenian
432,N3 12_Num N Dem,No,Armenian
415,Neg 01_ Neg is Part (...) Verb,Yes,Armenian
416,Neg 02_Neg is V (...) Part,No,Armenian
420,Neg 03_Dist.Neg of  Class/Property,No,Armenian
419,Neg 04_Dist.Neg of identity,No,Armenian
421,Neg 05_Dist Neg of Location,No,Armenian
422,Neg 06_Dist.Neg of Existence,No,Armenian
417,Neg F1_Neg is NegAux,Yes,Armenian
418,Neg F2_ Neg is lexical V,No,Armenian
412,Neg F3_Neg is Tonal,No,Armenian
413,Neg F4_Neg is Tone and other modification,No,Armenian
414,Neg F5_Neg is Reduplication,No,Armenian
411,Neg F6_Neg is Infix,No,Armenian
467,O 01 1_Indef Mass_Can be bare,Yes,Armenian
469,O 01 2_Indef_Mass_Can have an article,No,Armenian
468,O 01 3_Indef_Mass_Must have an article,No,Armenian
470,O 02 1_Def_Mass _Can be bare,No,Armenian
472,O 02 2_Def_Mass _Can  have an article,No,Armenian
471,O 02 3_Def_Mass _Must have an article,Yes,Armenian
501,O 02 4.1_DefMass_Art-N,No,Armenian
474,O 03 1_Indef_Sg_Can be bare,Yes,Armenian
473,O 03 2_Indef_Sg_Can have an article,No,Armenian
475,O 03 3_Indef_Sg_Must have an article,No,Armenian
476,O 03 4_Indef_Sg_Can have a plural reading,Yes,Armenian
477,O 04 1_Def_Sg_Can be bare,No,Armenian
479,O 04 2_Def_Sg_Can have an article,No,Armenian
478,O 04 3_Def_Sg_Must have an article,Yes,Armenian
503,O 04 4.1_DefSg_Art-N,No,Armenian
504,O 04 4.2_DefSg_N-Art,Yes,Armenian
480,O 05 1_Indef_Pl_Can be bare,Yes,Armenian
482,O 05 2_Indef_Pl_Can have an article,No,Armenian
481,O 05 3_Indef_Pl_Must have an article,No,Armenian
483,O 06 1_Def_Pl_Can be bare,No,Armenian
485,O 06 2_Def_Pl_Can have an article,No,Armenian
484,O 06 3_Def_Pl_Must have an article,Yes,Armenian
505,O 06 4.1_DefPl_Art-N,No,Armenian
506,O 06 4.2_DefPl_N-Art,Yes,Armenian
486,O 07 1_Unique Ref_Can be bare,No,Armenian
488,O 07 2_Unique Ref_Can have an article,Yes,Armenian
487,O 07 3_Unique Ref_Must have an article,Yes,Armenian
