ID,Name,Value,Language
405,01_SV,Yes,Bulgarian
404,02_VS,No,Bulgarian
375,03_VO,Yes,Bulgarian
376,04_OV,No,Bulgarian
378,05_SVO,Yes,Bulgarian
379,06_SOV,Yes,Bulgarian
380,07_VSO,No,Bulgarian
381,08_VOS,No,Bulgarian
382,09_OSV,No,Bulgarian
383,10_OVS,No,Bulgarian
390,11_P NP,Yes,Bulgarian
391,12_NP P,No,Bulgarian
437,13_A N,Yes,Bulgarian
377,14_N A,No,Bulgarian
384,15_Num N,Yes,Bulgarian
385,16_N Num,No,Bulgarian
386,17_Dem N,Yes,Bulgarian
387,18_N Dem,No,Bulgarian
394,19_Poss N,Yes,Bulgarian
395,20_N Poss,Yes,Bulgarian
426,21_Pron.Poss N,Yes,Bulgarian
425,22_N Pron.Poss,No,Bulgarian
406,A 01_Attr.Adj Agr,Yes,Bulgarian
407,A 02_Pred.Adj Agr ,Yes,Bulgarian
396,A 03_Deg A,Yes,Bulgarian
397,A 04_A Deg,No,Bulgarian
388,C 01_C Clause,Yes,Bulgarian
389,C 02_Clause C,No,Bulgarian
392,C 03_Adv.Sub Clause,Yes,Bulgarian
393,C 04_Clause Adv.Sub,No,Bulgarian
408,Extra Examples,Yes,Bulgarian
524,ISO 639-3 Code,bul,Bulgarian
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Bulgarian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Bulgarian
440,N2 F3_Def NumN or NNum can be bare,No,Bulgarian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Bulgarian
398,N3 01_ Dem A N,Yes,Bulgarian
399,N3 02_Dem N A,No,Bulgarian
403,N3 03_ N A Dem,No,Bulgarian
402,N3 04_N Dem A,No,Bulgarian
400,N3 05_A Dem N,No,Bulgarian
401,N3 06_A N Dem,No,Bulgarian
415,Neg 01_ Neg is Part (...) Verb,Yes,Bulgarian
416,Neg 02_Neg is V (...) Part,No,Bulgarian
420,Neg 03_Dist.Neg of  Class/Property,No,Bulgarian
419,Neg 04_Dist.Neg of identity,No,Bulgarian
421,Neg 05_Dist Neg of Location,Yes,Bulgarian
422,Neg 06_Dist.Neg of Existence,Yes,Bulgarian
417,Neg F1_Neg is NegAux,No,Bulgarian
418,Neg F2_ Neg is lexical V,Yes,Bulgarian
412,Neg F3_Neg is Tonal,No,Bulgarian
413,Neg F4_Neg is Tone and other modification,No,Bulgarian
414,Neg F5_Neg is Reduplication,No,Bulgarian
411,Neg F6_Neg is Infix,No,Bulgarian
423,V2 01_Declarative Verb-Second,No,Bulgarian
424,V2 02_Interrogative Verb-Second,No,Bulgarian
374,V_Aux 01_Aux.Selection,No,Bulgarian
523,latlong,"42.694549,23.337708",Bulgarian
