ID,Name,Value,Language
405,01_SV,Yes,Catalan
404,02_VS,Yes,Catalan
375,03_VO,Yes,Catalan
376,04_OV,No,Catalan
378,05_SVO,Yes,Catalan
379,06_SOV,No,Catalan
380,07_VSO,No,Catalan
381,08_VOS,Yes,Catalan
382,09_OSV,No,Catalan
383,10_OVS,No,Catalan
390,11_P NP,Yes,Catalan
391,12_NP P,No,Catalan
437,13_A N,Yes,Catalan
377,14_N A,Yes,Catalan
384,15_Num N,Yes,Catalan
385,16_N Num,No,Catalan
386,17_Dem N,Yes,Catalan
387,18_N Dem,No,Catalan
394,19_Poss N,Yes,Catalan
395,20_N Poss,Yes,Catalan
426,21_Pron.Poss N,Yes,Catalan
425,22_N Pron.Poss,Yes,Catalan
406,A 01_Attr.Adj Agr,Yes,Catalan
407,A 02_Pred.Adj Agr ,Yes,Catalan
396,A 03_Deg A,Yes,Catalan
397,A 04_A Deg,Yes,Catalan
388,C 01_C Clause,Yes,Catalan
389,C 02_Clause C,No,Catalan
392,C 03_Adv.Sub Clause,Yes,Catalan
393,C 04_Clause Adv.Sub,No,Catalan
408,Extra Examples,Yes,Catalan
524,ISO 639-3 Code,cat,Catalan
434,N2 01_Num N_(indef),Yes,Catalan
433,N2 02_N Num_(indef),No,Catalan
435,N2 03_Num N_(def),Yes,Catalan
436,N2 04_N Num_(def),No,Catalan
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Catalan
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Catalan
440,N2 F3_Def NumN or NNum can be bare,No,Catalan
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Catalan
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Catalan
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Catalan
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Catalan
398,N3 01_ Dem A N,Yes,Catalan
399,N3 02_Dem N A,Yes,Catalan
403,N3 03_ N A Dem,No,Catalan
402,N3 04_N Dem A,No,Catalan
400,N3 05_A Dem N,No,Catalan
401,N3 06_A N Dem,No,Catalan
427,N3 07_Dem Num N,Yes,Catalan
428,N3 08_Dem N Num,No,Catalan
429,N3 09_ N Num Dem,No,Catalan
430,N3 10_N Dem Num,No,Catalan
431,N3 11_Num Dem N,No,Catalan
432,N3 12_Num N Dem,Yes,Catalan
415,Neg 01_ Neg is Part (...) Verb,Yes,Catalan
416,Neg 02_Neg is V (...) Part,Yes,Catalan
420,Neg 03_Dist.Neg of  Class/Property,No,Catalan
419,Neg 04_Dist.Neg of identity,No,Catalan
421,Neg 05_Dist Neg of Location,No,Catalan
422,Neg 06_Dist.Neg of Existence,No,Catalan
417,Neg F1_Neg is NegAux,No,Catalan
418,Neg F2_ Neg is lexical V,No,Catalan
412,Neg F3_Neg is Tonal,No,Catalan
413,Neg F4_Neg is Tone and other modification,No,Catalan
414,Neg F5_Neg is Reduplication,No,Catalan
411,Neg F6_Neg is Infix,No,Catalan
467,O 01 1_Indef Mass_Can be bare,Yes,Catalan
469,O 01 2_Indef_Mass_Can have an article,No,Catalan
468,O 01 3_Indef_Mass_Must have an article,No,Catalan
470,O 02 1_Def_Mass _Can be bare,No,Catalan
472,O 02 2_Def_Mass _Can  have an article,No,Catalan
471,O 02 3_Def_Mass _Must have an article,Yes,Catalan
501,O 02 4.1_DefMass_Art-N,Yes,Catalan
502,O 02 4.2_DefMass_N-Art,No,Catalan
474,O 03 1_Indef_Sg_Can be bare,No,Catalan
473,O 03 2_Indef_Sg_Can have an article,No,Catalan
475,O 03 3_Indef_Sg_Must have an article,Yes,Catalan
476,O 03 4_Indef_Sg_Can have a plural reading,No,Catalan
477,O 04 1_Def_Sg_Can be bare,No,Catalan
479,O 04 2_Def_Sg_Can have an article,No,Catalan
478,O 04 3_Def_Sg_Must have an article,Yes,Catalan
503,O 04 4.1_DefSg_Art-N,Yes,Catalan
504,O 04 4.2_DefSg_N-Art,No,Catalan
480,O 05 1_Indef_Pl_Can be bare,Yes,Catalan
482,O 05 2_Indef_Pl_Can have an article,No,Catalan
481,O 05 3_Indef_Pl_Must have an article,No,Catalan
483,O 06 1_Def_Pl_Can be bare,No,Catalan
485,O 06 2_Def_Pl_Can have an article,No,Catalan
484,O 06 3_Def_Pl_Must have an article,Yes,Catalan
505,O 06 4.1_DefPl_Art-N,Yes,Catalan
506,O 06 4.2_DefPl_N-Art,No,Catalan
486,O 07 1_Unique Ref_Can be bare,No,Catalan
488,O 07 2_Unique Ref_Can have an article,No,Catalan
487,O 07 3_Unique Ref_Must have an article,Yes,Catalan
489,O 07 4_Unique Ref_Must have a 'special article',No,Catalan
490,O 08 1_PN_Can be bare,Yes,Catalan
492,O 08 2_PN_Can have an article,Yes,Catalan
491,O 08 3_PN_Must have an article,No,Catalan
526,O 08 4_PN_Must have a 'special article',No,Catalan
494,O 08 5.1_Art-PN,Yes,Catalan
495,O 08 5.1_PN-Art,No,Catalan
496,O 09 1_PN+A_Can be bare,No,Catalan
498,O 09 2_PN+A_Can have an article,No,Catalan
497,O 09 3_PN+A_Must have an article,Yes,Catalan
499,O 09 4.1_ Adj-PN,Yes,Catalan
500,O 09 5.2_ PN-Adj,Yes,Catalan
445,Q01_Initial polar Q-marker,Yes,Catalan
446,Q02_Final polar Q-marker,No,Catalan
