ID,Name,Value,Language
405,01_SV,Yes,Croatian
404,02_VS,Yes,Croatian
375,03_VO,Yes,Croatian
376,04_OV,Yes,Croatian
378,05_SVO,Yes,Croatian
379,06_SOV,Yes,Croatian
380,07_VSO,Yes,Croatian
381,08_VOS,Yes,Croatian
382,09_OSV,No,Croatian
383,10_OVS,Yes,Croatian
390,11_P NP,Yes,Croatian
391,12_NP P,No,Croatian
437,13_A N,Yes,Croatian
377,14_N A,No,Croatian
384,15_Num N,Yes,Croatian
385,16_N Num,No,Croatian
386,17_Dem N,Yes,Croatian
387,18_N Dem,No,Croatian
394,19_Poss N,Yes,Croatian
395,20_N Poss,Yes,Croatian
426,21_Pron.Poss N,Yes,Croatian
425,22_N Pron.Poss,Yes,Croatian
406,A 01_Attr.Adj Agr,Yes,Croatian
407,A 02_Pred.Adj Agr ,Yes,Croatian
396,A 03_Deg A,Yes,Croatian
397,A 04_A Deg,No,Croatian
388,C 01_C Clause,Yes,Croatian
389,C 02_Clause C,No,Croatian
392,C 03_Adv.Sub Clause,Yes,Croatian
393,C 04_Clause Adv.Sub,No,Croatian
408,Extra Examples,Na,Croatian
524,ISO 639-3 Code,hrv,Croatian
434,N2 01_Num N_(indef),Yes,Croatian
433,N2 02_N Num_(indef),No,Croatian
435,N2 03_Num N_(def),Yes,Croatian
436,N2 04_N Num_(def),No,Croatian
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Croatian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Croatian
440,N2 F3_Def NumN or NNum can be bare,Yes,Croatian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Croatian
817,"N2 F4b_Indef Num N marks plural, but Def Num N does not.",No,Croatian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Croatian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Croatian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Croatian
398,N3 01_ Dem A N,Yes,Croatian
399,N3 02_Dem N A,No,Croatian
403,N3 03_ N A Dem,No,Croatian
402,N3 04_N Dem A,No,Croatian
400,N3 05_A Dem N,No,Croatian
401,N3 06_A N Dem,No,Croatian
427,N3 07_Dem Num N,Yes,Croatian
