ID,Name,Value,Language
405,01_SV,Yes,Czech
404,02_VS,Yes,Czech
375,03_VO,Yes,Czech
376,04_OV,Yes,Czech
378,05_SVO,Yes,Czech
379,06_SOV,No,Czech
380,07_VSO,No,Czech
381,08_VOS,No,Czech
382,09_OSV,No,Czech
383,10_OVS,Yes,Czech
390,11_P NP,Yes,Czech
391,12_NP P,Yes,Czech
437,13_A N,Yes,Czech
377,14_N A,No,Czech
384,15_Num N,Yes,Czech
385,16_N Num,No,Czech
386,17_Dem N,Yes,Czech
387,18_N Dem,No,Czech
394,19_Poss N,Yes,Czech
395,20_N Poss,Yes,Czech
426,21_Pron.Poss N,Yes,Czech
425,22_N Pron.Poss,No,Czech
406,A 01_Attr.Adj Agr,Yes,Czech
407,A 02_Pred.Adj Agr ,Yes,Czech
396,A 03_Deg A,Yes,Czech
397,A 04_A Deg,No,Czech
388,C 01_C Clause,Yes,Czech
389,C 02_Clause C,No,Czech
392,C 03_Adv.Sub Clause,Yes,Czech
393,C 04_Clause Adv.Sub,No,Czech
408,Extra Examples,No,Czech
524,ISO 639-3 Code,ces,Czech
434,N2 01_Num N_(indef),Yes,Czech
433,N2 02_N Num_(indef),No,Czech
435,N2 03_Num N_(def),Yes,Czech
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Czech
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Czech
440,N2 F3_Def NumN or NNum can be bare,No,Czech
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Czech
398,N3 01_ Dem A N,Yes,Czech
399,N3 02_Dem N A,No,Czech
403,N3 03_ N A Dem,No,Czech
402,N3 04_N Dem A,No,Czech
400,N3 05_A Dem N,No,Czech
401,N3 06_A N Dem,No,Czech
427,N3 07_Dem Num N,Yes,Czech
428,N3 08_Dem N Num,No,Czech
429,N3 09_ N Num Dem,No,Czech
430,N3 10_N Dem Num,No,Czech
431,N3 11_Num Dem N,No,Czech
432,N3 12_Num N Dem,No,Czech
415,Neg 01_ Neg is Part (...) Verb,Yes,Czech
416,Neg 02_Neg is V (...) Part,No,Czech
420,Neg 03_Dist.Neg of  Class/Property,No,Czech
419,Neg 04_Dist.Neg of identity,No,Czech
421,Neg 05_Dist Neg of Location,No,Czech
422,Neg 06_Dist.Neg of Existence,No,Czech
417,Neg F1_Neg is NegAux,No,Czech
418,Neg F2_ Neg is lexical V,No,Czech
412,Neg F3_Neg is Tonal,No,Czech
413,Neg F4_Neg is Tone and other modification,No,Czech
414,Neg F5_Neg is Reduplication,No,Czech
411,Neg F6_Neg is Infix,No,Czech
445,Q01_Initial polar Q-marker,No,Czech
446,Q02_Final polar Q-marker,No,Czech
447,Q03_Clause internal polar Q-marker,No,Czech
448,Q04_Polar question by intonation,No,Czech
449,Q05_Polar question by V-fronting,Yes,Czech
450,Q06_Polar question by Aux-fronting,Yes,Czech
451,Q07_Q-marker follows narrow focus,No,Czech
452,Q08_Affirmative answer by particle,Yes,Czech
453,Q09_Affirmative answer by V,Yes,Czech
454,Q10_Affirmative answer by aux,Yes,Czech
455,Q11_Affirmative answer by auxiliary and verb,No,Czech
456,Q12_Affirmative answer by particle and verb,No,Czech
457,Q13_Affirmative answer by predicative 'be' ,No,Czech
423,V2 01_Declarative Verb-Second,No,Czech
424,V2 02_Interrogative Verb-Second,No,Czech
374,V_Aux 01_Aux.Selection,No,Czech
523,latlong,"50.09,14.42",Czech
