ID,Name,Value,Language
405,01_SV,Yes,Danish
404,02_VS,No,Danish
375,03_VO,Yes,Danish
376,04_OV,No,Danish
378,05_SVO,Yes,Danish
379,06_SOV,No,Danish
380,07_VSO,No,Danish
381,08_VOS,No,Danish
382,09_OSV,No,Danish
383,10_OVS,No,Danish
390,11_P NP,Yes,Danish
391,12_NP P,Yes,Danish
437,13_A N,Yes,Danish
377,14_N A,No,Danish
384,15_Num N,Yes,Danish
385,16_N Num,No,Danish
386,17_Dem N,Yes,Danish
387,18_N Dem,No,Danish
394,19_Poss N,Yes,Danish
395,20_N Poss,Yes,Danish
426,21_Pron.Poss N,Yes,Danish
425,22_N Pron.Poss,No,Danish
406,A 01_Attr.Adj Agr,Yes,Danish
407,A 02_Pred.Adj Agr ,Yes,Danish
396,A 03_Deg A,Yes,Danish
397,A 04_A Deg,Yes,Danish
388,C 01_C Clause,Yes,Danish
389,C 02_Clause C,No,Danish
392,C 03_Adv.Sub Clause,Yes,Danish
393,C 04_Clause Adv.Sub,No,Danish
408,Extra Examples,No,Danish
524,ISO 639-3 Code,dnk,Danish
434,N2 01_Num N_(indef),Yes,Danish
433,N2 02_N Num_(indef),No,Danish
435,N2 03_Num N_(def),Yes,Danish
436,N2 04_N Num_(def),No,Danish
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Danish
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Danish
440,N2 F3_Def NumN or NNum can be bare,No,Danish
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Danish
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Danish
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Danish
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",Yes,Danish
398,N3 01_ Dem A N,Yes,Danish
399,N3 02_Dem N A,No,Danish
403,N3 03_ N A Dem,No,Danish
402,N3 04_N Dem A,No,Danish
400,N3 05_A Dem N,No,Danish
401,N3 06_A N Dem,No,Danish
427,N3 07_Dem Num N,Yes,Danish
428,N3 08_Dem N Num,No,Danish
429,N3 09_ N Num Dem,No,Danish
430,N3 10_N Dem Num,No,Danish
431,N3 11_Num Dem N,No,Danish
432,N3 12_Num N Dem,No,Danish
415,Neg 01_ Neg is Part (...) Verb,Yes,Danish
416,Neg 02_Neg is V (...) Part,Yes,Danish
420,Neg 03_Dist.Neg of  Class/Property,No,Danish
419,Neg 04_Dist.Neg of identity,No,Danish
421,Neg 05_Dist Neg of Location,No,Danish
422,Neg 06_Dist.Neg of Existence,No,Danish
417,Neg F1_Neg is NegAux,No,Danish
418,Neg F2_ Neg is lexical V,No,Danish
412,Neg F3_Neg is Tonal,No,Danish
413,Neg F4_Neg is Tone and other modification,No,Danish
414,Neg F5_Neg is Reduplication,No,Danish
411,Neg F6_Neg is Infix,No,Danish
467,O 01 1_Indef Mass_Can be bare,Yes,Danish
469,O 01 2_Indef_Mass_Can have an article,No,Danish
468,O 01 3_Indef_Mass_Must have an article,No,Danish
470,O 02 1_Def_Mass _Can be bare,No,Danish
472,O 02 2_Def_Mass _Can  have an article,No,Danish
471,O 02 3_Def_Mass _Must have an article,Yes,Danish
474,O 03 1_Indef_Sg_Can be bare,No,Danish
473,O 03 2_Indef_Sg_Can have an article,No,Danish
475,O 03 3_Indef_Sg_Must have an article,Yes,Danish
476,O 03 4_Indef_Sg_Can have a plural reading,No,Danish
477,O 04 1_Def_Sg_Can be bare,No,Danish
479,O 04 2_Def_Sg_Can have an article,No,Danish
478,O 04 3_Def_Sg_Must have an article,Yes,Danish
480,O 05 1_Indef_Pl_Can be bare,Yes,Danish
482,O 05 2_Indef_Pl_Can have an article,No,Danish
