ID,Name,Value,Language
405,01_SV,Yes,Dutch
404,02_VS,No,Dutch
375,03_VO,Yes,Dutch
376,04_OV,Yes,Dutch
378,05_SVO,Yes,Dutch
379,06_SOV,Yes,Dutch
380,07_VSO,No,Dutch
381,08_VOS,No,Dutch
382,09_OSV,No,Dutch
383,10_OVS,No,Dutch
390,11_P NP,Yes,Dutch
391,12_NP P,Yes,Dutch
437,13_A N,Yes,Dutch
377,14_N A,No,Dutch
384,15_Num N,Yes,Dutch
385,16_N Num,No,Dutch
386,17_Dem N,Yes,Dutch
387,18_N Dem,No,Dutch
394,19_Poss N,Yes,Dutch
395,20_N Poss,Yes,Dutch
426,21_Pron.Poss N,Yes,Dutch
425,22_N Pron.Poss,Yes,Dutch
406,A 01_Attr.Adj Agr,Yes,Dutch
407,A 02_Pred.Adj Agr ,No,Dutch
396,A 03_Deg A,Yes,Dutch
397,A 04_A Deg,Yes,Dutch
388,C 01_C Clause,Yes,Dutch
389,C 02_Clause C,No,Dutch
392,C 03_Adv.Sub Clause,Yes,Dutch
393,C 04_Clause Adv.Sub,No,Dutch
408,Extra Examples,Yes,Dutch
524,ISO 639-3 Code,nld,Dutch
434,N2 01_Num N_(indef),Yes,Dutch
433,N2 02_N Num_(indef),No,Dutch
435,N2 03_Num N_(def),Yes,Dutch
436,N2 04_N Num_(def),No,Dutch
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Dutch
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Dutch
440,N2 F3_Def NumN or NNum can be bare,No,Dutch
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Dutch
817,"N2 F4b_Indef Num N marks plural, but Def Num N does not.",No,Dutch
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Dutch
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Dutch
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Dutch
398,N3 01_ Dem A N,Yes,Dutch
399,N3 02_Dem N A,No,Dutch
403,N3 03_ N A Dem,No,Dutch
402,N3 04_N Dem A,No,Dutch
400,N3 05_A Dem N,No,Dutch
401,N3 06_A N Dem,No,Dutch
427,N3 07_Dem Num N,Yes,Dutch
428,N3 08_Dem N Num,No,Dutch
429,N3 09_ N Num Dem,No,Dutch
430,N3 10_N Dem Num,No,Dutch
431,N3 11_Num Dem N,No,Dutch
432,N3 12_Num N Dem,No,Dutch
