ID,Name,Value,Language
390,11_P NP,Yes,Estonian
391,12_NP P,Yes,Estonian
437,13_A N,Yes,Estonian
384,15_Num N,Yes,Estonian
385,16_N Num,No,Estonian
386,17_Dem N,Yes,Estonian
387,18_N Dem,No,Estonian
394,19_Poss N,Yes,Estonian
395,20_N Poss,No,Estonian
426,21_Pron.Poss N,Yes,Estonian
425,22_N Pron.Poss,No,Estonian
406,A 01_Attr.Adj Agr,Yes,Estonian
407,A 02_Pred.Adj Agr ,Yes,Estonian
396,A 03_Deg A,Yes,Estonian
388,C 01_C Clause,Yes,Estonian
389,C 02_Clause C,No,Estonian
524,ISO 639-3 Code,ekk,Estonian
434,N2 01_Num N_(indef),Yes,Estonian
433,N2 02_N Num_(indef),No,Estonian
435,N2 03_Num N_(def),Yes,Estonian
436,N2 04_N Num_(def),No,Estonian
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Estonian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Estonian
440,N2 F3_Def NumN or NNum can be bare,No,Estonian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Estonian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Estonian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Estonian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Estonian
467,O 01 1_Indef Mass_Can be bare,Yes,Estonian
469,O 01 2_Indef_Mass_Can have an article,No,Estonian
468,O 01 3_Indef_Mass_Must have an article,No,Estonian
470,O 02 1_Def_Mass _Can be bare,No,Estonian
472,O 02 2_Def_Mass _Can  have an article,No,Estonian
471,O 02 3_Def_Mass _Must have an article,Yes,Estonian
501,O 02 4.1_DefMass_Art-N,Yes,Estonian
502,O 02 4.2_DefMass_N-Art,Yes,Estonian
474,O 03 1_Indef_Sg_Can be bare,Yes,Estonian
473,O 03 2_Indef_Sg_Can have an article,Yes,Estonian
475,O 03 3_Indef_Sg_Must have an article,No,Estonian
476,O 03 4_Indef_Sg_Can have a plural reading,No,Estonian
477,O 04 1_Def_Sg_Can be bare,Yes,Estonian
479,O 04 2_Def_Sg_Can have an article,No,Estonian
478,O 04 3_Def_Sg_Must have an article,No,Estonian
503,O 04 4.1_DefSg_Art-N,No,Estonian
504,O 04 4.2_DefSg_N-Art,No,Estonian
480,O 05 1_Indef_Pl_Can be bare,Yes,Estonian
482,O 05 2_Indef_Pl_Can have an article,Yes,Estonian
481,O 05 3_Indef_Pl_Must have an article,No,Estonian
483,O 06 1_Def_Pl_Can be bare,Yes,Estonian
485,O 06 2_Def_Pl_Can have an article,No,Estonian
484,O 06 3_Def_Pl_Must have an article,No,Estonian
505,O 06 4.1_DefPl_Art-N,No,Estonian
506,O 06 4.2_DefPl_N-Art,No,Estonian
486,O 07 1_Unique Ref_Can be bare,Yes,Estonian
488,O 07 2_Unique Ref_Can have an article,No,Estonian
487,O 07 3_Unique Ref_Must have an article,No,Estonian
489,O 07 4_Unique Ref_Must have a 'special article',No,Estonian
490,O 08 1_PN_Can be bare,Yes,Estonian
492,O 08 2_PN_Can have an article,No,Estonian
491,O 08 3_PN_Must have an article,No,Estonian
526,O 08 4_PN_Must have a 'special article',No,Estonian
494,O 08 5.1_Art-PN,No,Estonian
495,O 08 5.1_PN-Art,No,Estonian
496,O 09 1_PN+A_Can be bare,Yes,Estonian
498,O 09 2_PN+A_Can have an article,No,Estonian
497,O 09 3_PN+A_Must have an article,No,Estonian
499,O 09 4.1_ Adj-PN,Yes,Estonian
500,O 09 5.2_ PN-Adj,No,Estonian
423,V2 01_Declarative Verb-Second,Yes,Estonian
424,V2 02_Interrogative Verb-Second,No,Estonian
523,latlong,"59.437222,24.745278",Estonian
