ID,Name,Value,Language
405,01_SV,Yes,Finnish
404,02_VS,Yes,Finnish
375,03_VO,Yes,Finnish
376,04_OV,No,Finnish
378,05_SVO,Yes,Finnish
379,06_SOV,No,Finnish
380,07_VSO,No,Finnish
381,08_VOS,No,Finnish
382,09_OSV,No,Finnish
383,10_OVS,No,Finnish
390,11_P NP,Yes,Finnish
391,12_NP P,Yes,Finnish
437,13_A N,Yes,Finnish
377,14_N A,No,Finnish
384,15_Num N,Yes,Finnish
385,16_N Num,No,Finnish
386,17_Dem N,Yes,Finnish
387,18_N Dem,No,Finnish
394,19_Poss N,Yes,Finnish
395,20_N Poss,No,Finnish
426,21_Pron.Poss N,Yes,Finnish
425,22_N Pron.Poss,Yes,Finnish
406,A 01_Attr.Adj Agr,Yes,Finnish
407,A 02_Pred.Adj Agr ,Yes,Finnish
396,A 03_Deg A,Yes,Finnish
397,A 04_A Deg,No,Finnish
388,C 01_C Clause,Yes,Finnish
389,C 02_Clause C,No,Finnish
392,C 03_Adv.Sub Clause,Yes,Finnish
393,C 04_Clause Adv.Sub,No,Finnish
408,Extra Examples,No,Finnish
524,ISO 639-3 Code,fin,Finnish
434,N2 01_Num N_(indef),Yes,Finnish
433,N2 02_N Num_(indef),No,Finnish
435,N2 03_Num N_(def),Yes,Finnish
436,N2 04_N Num_(def),No,Finnish
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Finnish
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Finnish
440,N2 F3_Def NumN or NNum can be bare,Yes,Finnish
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Finnish
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Finnish
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Finnish
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Finnish
398,N3 01_ Dem A N,Yes,Finnish
399,N3 02_Dem N A,No,Finnish
403,N3 03_ N A Dem,No,Finnish
402,N3 04_N Dem A,No,Finnish
400,N3 05_A Dem N,No,Finnish
401,N3 06_A N Dem,No,Finnish
427,N3 07_Dem Num N,Yes,Finnish
428,N3 08_Dem N Num,No,Finnish
429,N3 09_ N Num Dem,No,Finnish
430,N3 10_N Dem Num,No,Finnish
431,N3 11_Num Dem N,No,Finnish
432,N3 12_Num N Dem,No,Finnish
415,Neg 01_ Neg is Part (...) Verb,No,Finnish
416,Neg 02_Neg is V (...) Part,No,Finnish
420,Neg 03_Dist.Neg of  Class/Property,No,Finnish
419,Neg 04_Dist.Neg of identity,No,Finnish
421,Neg 05_Dist Neg of Location,No,Finnish
422,Neg 06_Dist.Neg of Existence,No,Finnish
417,Neg F1_Neg is NegAux,Yes,Finnish
418,Neg F2_ Neg is lexical V,No,Finnish
412,Neg F3_Neg is Tonal,No,Finnish
413,Neg F4_Neg is Tone and other modification,No,Finnish
414,Neg F5_Neg is Reduplication,No,Finnish
411,Neg F6_Neg is Infix,No,Finnish
467,O 01 1_Indef Mass_Can be bare,No,Finnish
469,O 01 2_Indef_Mass_Can have an article,No,Finnish
468,O 01 3_Indef_Mass_Must have an article,Yes,Finnish
470,O 02 1_Def_Mass _Can be bare,No,Finnish
472,O 02 2_Def_Mass _Can  have an article,Yes,Finnish
471,O 02 3_Def_Mass _Must have an article,Yes,Finnish
501,O 02 4.1_DefMass_Art-N,Yes,Finnish
502,O 02 4.2_DefMass_N-Art,Yes,Finnish
474,O 03 1_Indef_Sg_Can be bare,Yes,Finnish
473,O 03 2_Indef_Sg_Can have an article,No,Finnish
475,O 03 3_Indef_Sg_Must have an article,No,Finnish
476,O 03 4_Indef_Sg_Can have a plural reading,No,Finnish
477,O 04 1_Def_Sg_Can be bare,Yes,Finnish
479,O 04 2_Def_Sg_Can have an article,Yes,Finnish
478,O 04 3_Def_Sg_Must have an article,No,Finnish
503,O 04 4.1_DefSg_Art-N,Yes,Finnish
504,O 04 4.2_DefSg_N-Art,No,Finnish
480,O 05 1_Indef_Pl_Can be bare,Yes,Finnish
482,O 05 2_Indef_Pl_Can have an article,Yes,Finnish
481,O 05 3_Indef_Pl_Must have an article,No,Finnish
483,O 06 1_Def_Pl_Can be bare,Yes,Finnish
485,O 06 2_Def_Pl_Can have an article,Yes,Finnish
484,O 06 3_Def_Pl_Must have an article,No,Finnish
505,O 06 4.1_DefPl_Art-N,Yes,Finnish
506,O 06 4.2_DefPl_N-Art,No,Finnish
486,O 07 1_Unique Ref_Can be bare,Yes,Finnish
488,O 07 2_Unique Ref_Can have an article,No,Finnish
487,O 07 3_Unique Ref_Must have an article,No,Finnish
489,O 07 4_Unique Ref_Must have a 'special article',No,Finnish
490,O 08 1_PN_Can be bare,Yes,Finnish
492,O 08 2_PN_Can have an article,Yes,Finnish
491,O 08 3_PN_Must have an article,No,Finnish
526,O 08 4_PN_Must have a 'special article',No,Finnish
494,O 08 5.1_Art-PN,Yes,Finnish
495,O 08 5.1_PN-Art,No,Finnish
496,O 09 1_PN+A_Can be bare,Yes,Finnish
498,O 09 2_PN+A_Can have an article,Yes,Finnish
497,O 09 3_PN+A_Must have an article,No,Finnish
499,O 09 4.1_ Adj-PN,Yes,Finnish
500,O 09 5.2_ PN-Adj,No,Finnish
445,Q01_Initial polar Q-marker,No,Finnish
446,Q02_Final polar Q-marker,No,Finnish
447,Q03_Clause internal polar Q-marker,Yes,Finnish
448,Q04_Polar question by intonation,No,Finnish
449,Q05_Polar question by V-fronting,Yes,Finnish
450,Q06_Polar question by Aux-fronting,Yes,Finnish
451,Q07_Q-marker follows narrow focus,Yes,Finnish
452,Q08_Affirmative answer by particle,Yes,Finnish
453,Q09_Affirmative answer by V,Yes,Finnish
454,Q10_Affirmative answer by aux,Yes,Finnish
455,Q11_Affirmative answer by auxiliary and verb,Yes,Finnish
456,Q12_Affirmative answer by particle and verb,Yes,Finnish
457,Q13_Affirmative answer by predicative 'be' ,No,Finnish
458,Q14_Verb answer to indefinite subject question,Yes,Finnish
459,Q15_Particle-and-verb answer to indefinite subject question,Yes,Finnish
460,Q16_NEGA_Negative answer by special neg particle,No,Finnish
461,Q17_NEGA_Neg answer by bare sentential negation,Yes,Finnish
462,Q18_NEGA_Neg answer by sentential neg plus bare verb,Yes,Finnish
463,Q19_ANegQ_Truth-based confirmation,No,Finnish
464,Q20_ANegQ_Polarity-based confirmation,Yes,Finnish
465,Q21_ANegQ_Polarity-reversing particle,No,Finnish
466,Q22_ANegQ_Polarity-reversing answer by affirmative and special particle,No,Finnish
729,S01A1_ Existential constructions: locative PP obligatory?,No,Finnish
730,S01B1_Ex: Def Subj,No,Finnish
731,S01B2_Ex: PN Subj,No,Finnish
732,S01B3_Ex: Strong PRN Subj,No,Finnish
728,S01_Existential constructions,Yes,Finnish
423,V2 01_Declarative Verb-Second,No,Finnish
424,V2 02_Interrogative Verb-Second,No,Finnish
374,V_Aux 01_Aux.Selection,No,Finnish
512,Voc_PN_01 Can be bare?,Yes,Finnish
514,Voc_PN_02 Can have an article,No,Finnish
513,Voc_PN_03 Must have an article?,No,Finnish
516,Voc_PN_04 Can have a special vocative marker?,Yes,Finnish
515,Voc_PN_05 Must have a special vocative marker?,No,Finnish
517,Voc_Pl_01 Can be bare?,Yes,Finnish
519,Voc_Pl_02 Can have an article?,No,Finnish
518,Voc_Pl_03 Must have an article?,No,Finnish
521,Voc_Pl_04 Can have a special vocative marker?,Yes,Finnish
520,Voc_Pl_05 Must have a special vocative marker?,No,Finnish
507,Voc_Sg_01 Can be bare?,Yes,Finnish
509,Voc_Sg_02 Can have an article?,No,Finnish
508,Voc_Sg_03 Must have an article?,No,Finnish
511,Voc_Sg_04 Can have a special vocative marker?,Yes,Finnish
510,Voc_Sg_05 Must have a special vocative marker?,No,Finnish
523,latlong,"64,26",Finnish
