ID,Name,Value,Language
405,01_SV,Yes,French
404,02_VS,No,French
375,03_VO,Yes,French
376,04_OV,No,French
378,05_SVO,Yes,French
379,06_SOV,No,French
380,07_VSO,No,French
381,08_VOS,No,French
382,09_OSV,No,French
383,10_OVS,No,French
390,11_P NP,Yes,French
391,12_NP P,No,French
437,13_A N,Yes,French
377,14_N A,Yes,French
384,15_Num N,Yes,French
385,16_N Num,No,French
386,17_Dem N,Yes,French
387,18_N Dem,No,French
394,19_Poss N,No,French
395,20_N Poss,Yes,French
426,21_Pron.Poss N,Yes,French
425,22_N Pron.Poss,No,French
406,A 01_Attr.Adj Agr,Yes,French
407,A 02_Pred.Adj Agr ,Yes,French
396,A 03_Deg A,Yes,French
397,A 04_A Deg,No,French
388,C 01_C Clause,Yes,French
389,C 02_Clause C,No,French
392,C 03_Adv.Sub Clause,Yes,French
393,C 04_Clause Adv.Sub,No,French
408,Extra Examples,Yes,French
524,ISO 639-3 Code,fra,French
434,N2 01_Num N_(indef),Yes,French
433,N2 02_N Num_(indef),No,French
435,N2 03_Num N_(def),Yes,French
436,N2 04_N Num_(def),No,French
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,French
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,French
440,N2 F3_Def NumN or NNum can be bare,No,French
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,French
817,"N2 F4b_Indef Num N marks plural, but Def Num N does not.",No,French
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,French
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,French
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,French
398,N3 01_ Dem A N,Yes,French
399,N3 02_Dem N A,Yes,French
403,N3 03_ N A Dem,No,French
402,N3 04_N Dem A,No,French
400,N3 05_A Dem N,No,French
401,N3 06_A N Dem,No,French
427,N3 07_Dem Num N,Yes,French
428,N3 08_Dem N Num,No,French
429,N3 09_ N Num Dem,No,French
430,N3 10_N Dem Num,No,French
431,N3 11_Num Dem N,No,French
432,N3 12_Num N Dem,No,French
415,Neg 01_ Neg is Part (...) Verb,Yes,French
416,Neg 02_Neg is V (...) Part,Yes,French
420,Neg 03_Dist.Neg of  Class/Property,No,French
419,Neg 04_Dist.Neg of identity,No,French
421,Neg 05_Dist Neg of Location,No,French
422,Neg 06_Dist.Neg of Existence,No,French
417,Neg F1_Neg is NegAux,No,French
418,Neg F2_ Neg is lexical V,No,French
412,Neg F3_Neg is Tonal,No,French
413,Neg F4_Neg is Tone and other modification,No,French
414,Neg F5_Neg is Reduplication,No,French
411,Neg F6_Neg is Infix,No,French
467,O 01 1_Indef Mass_Can be bare,No,French
469,O 01 2_Indef_Mass_Can have an article,No,French
