ID,Name,Value,Language
405,01_SV,Yes,German
404,02_VS,No,German
375,03_VO,Yes,German
376,04_OV,Yes,German
378,05_SVO,Yes,German
379,06_SOV,Yes,German
380,07_VSO,No,German
381,08_VOS,No,German
382,09_OSV,No,German
383,10_OVS,No,German
390,11_P NP,Yes,German
391,12_NP P,No,German
437,13_A N,Yes,German
377,14_N A,No,German
384,15_Num N,Yes,German
385,16_N Num,No,German
386,17_Dem N,Yes,German
387,18_N Dem,No,German
394,19_Poss N,Yes,German
395,20_N Poss,Yes,German
426,21_Pron.Poss N,Yes,German
425,22_N Pron.Poss,No,German
406,A 01_Attr.Adj Agr,Yes,German
407,A 02_Pred.Adj Agr ,No,German
396,A 03_Deg A,Yes,German
397,A 04_A Deg,Yes,German
388,C 01_C Clause,Yes,German
389,C 02_Clause C,No,German
392,C 03_Adv.Sub Clause,Yes,German
393,C 04_Clause Adv.Sub,No,German
408,Extra Examples,Yes,German
524,ISO 639-3 Code,deu,German
434,N2 01_Num N_(indef),Yes,German
433,N2 02_N Num_(indef),No,German
435,N2 03_Num N_(def),Yes,German
436,N2 04_N Num_(def),No,German
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,German
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,German
440,N2 F3_Def NumN or NNum can be bare,No,German
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,German
817,"N2 F4b_Indef Num N marks plural, but Def Num N does not.",No,German
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,German
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,German
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,German
398,N3 01_ Dem A N,Yes,German
399,N3 02_Dem N A,No,German
403,N3 03_ N A Dem,No,German
402,N3 04_N Dem A,No,German
400,N3 05_A Dem N,No,German
401,N3 06_A N Dem,No,German
427,N3 07_Dem Num N,Yes,German
428,N3 08_Dem N Num,No,German
429,N3 09_ N Num Dem,No,German
430,N3 10_N Dem Num,No,German
431,N3 11_Num Dem N,No,German
432,N3 12_Num N Dem,No,German
415,Neg 01_ Neg is Part (...) Verb,Yes,German
416,Neg 02_Neg is V (...) Part,Yes,German
420,Neg 03_Dist.Neg of  Class/Property,No,German
419,Neg 04_Dist.Neg of identity,No,German
421,Neg 05_Dist Neg of Location,No,German
422,Neg 06_Dist.Neg of Existence,Yes,German
417,Neg F1_Neg is NegAux,No,German
418,Neg F2_ Neg is lexical V,No,German
412,Neg F3_Neg is Tonal,No,German
413,Neg F4_Neg is Tone and other modification,No,German
414,Neg F5_Neg is Reduplication,No,German
411,Neg F6_Neg is Infix,No,German
467,O 01 1_Indef Mass_Can be bare,Yes,German
469,O 01 2_Indef_Mass_Can have an article,No,German
468,O 01 3_Indef_Mass_Must have an article,No,German
470,O 02 1_Def_Mass _Can be bare,No,German
472,O 02 2_Def_Mass _Can  have an article,No,German
471,O 02 3_Def_Mass _Must have an article,Yes,German
501,O 02 4.1_DefMass_Art-N,Yes,German
502,O 02 4.2_DefMass_N-Art,No,German
474,O 03 1_Indef_Sg_Can be bare,No,German
473,O 03 2_Indef_Sg_Can have an article,No,German
475,O 03 3_Indef_Sg_Must have an article,Yes,German
476,O 03 4_Indef_Sg_Can have a plural reading,No,German
477,O 04 1_Def_Sg_Can be bare,No,German
479,O 04 2_Def_Sg_Can have an article,No,German
478,O 04 3_Def_Sg_Must have an article,Yes,German
503,O 04 4.1_DefSg_Art-N,Yes,German
504,O 04 4.2_DefSg_N-Art,No,German
480,O 05 1_Indef_Pl_Can be bare,Yes,German
482,O 05 2_Indef_Pl_Can have an article,No,German
481,O 05 3_Indef_Pl_Must have an article,No,German
483,O 06 1_Def_Pl_Can be bare,No,German
485,O 06 2_Def_Pl_Can have an article,No,German
484,O 06 3_Def_Pl_Must have an article,Yes,German
505,O 06 4.1_DefPl_Art-N,Yes,German
506,O 06 4.2_DefPl_N-Art,No,German
486,O 07 1_Unique Ref_Can be bare,No,German
488,O 07 2_Unique Ref_Can have an article,No,German
487,O 07 3_Unique Ref_Must have an article,Yes,German
489,O 07 4_Unique Ref_Must have a 'special article',No,German
490,O 08 1_PN_Can be bare,Yes,German
492,O 08 2_PN_Can have an article,Yes,German
491,O 08 3_PN_Must have an article,No,German
526,O 08 4_PN_Must have a 'special article',No,German
494,O 08 5.1_Art-PN,Yes,German
495,O 08 5.1_PN-Art,No,German
496,O 09 1_PN+A_Can be bare,No,German
498,O 09 2_PN+A_Can have an article,No,German
497,O 09 3_PN+A_Must have an article,Yes,German
499,O 09 4.1_ Adj-PN,Yes,German
500,O 09 5.2_ PN-Adj,No,German
445,Q01_Initial polar Q-marker,No,German
446,Q02_Final polar Q-marker,No,German
447,Q03_Clause internal polar Q-marker,No,German
448,Q04_Polar question by intonation,No,German
449,Q05_Polar question by V-fronting,Yes,German
450,Q06_Polar question by Aux-fronting,Yes,German
451,Q07_Q-marker follows narrow focus,No,German
452,Q08_Affirmative answer by particle,Yes,German
453,Q09_Affirmative answer by V,No,German
454,Q10_Affirmative answer by aux,No,German
455,Q11_Affirmative answer by auxiliary and verb,No,German
456,Q12_Affirmative answer by particle and verb,No,German
457,Q13_Affirmative answer by predicative 'be' ,No,German
458,Q14_Verb answer to indefinite subject question,No,German
459,Q15_Particle-and-verb answer to indefinite subject question,No,German
460,Q16_NEGA_Negative answer by special neg particle,Yes,German
461,Q17_NEGA_Neg answer by bare sentential negation,No,German
462,Q18_NEGA_Neg answer by sentential neg plus bare verb,No,German
463,Q19_ANegQ_Truth-based confirmation,No,German
464,Q20_ANegQ_Polarity-based confirmation,Yes,German
465,Q21_ANegQ_Polarity-reversing particle,Yes,German
466,Q22_ANegQ_Polarity-reversing answer by affirmative and special particle,No,German
729,S01A1_ Existential constructions: locative PP obligatory?,No,German
730,S01B1_Ex: Def Subj,No,German
731,S01B2_Ex: PN Subj,No,German
732,S01B3_Ex: Strong PRN Subj,No,German
733,S01B4_Ex: Univ QP Subj,No,German
728,S01_Existential constructions,Yes,German
734,S02_1 Indef mass Ns (Subj) can be bare,Yes,German
736,S02_2 Indef mass Ns (Subj) can have an article,Yes,German
735,S02_3 Indef mass Ns (Subj) must have an article,No,German
737,S03_1 Indef Sg count Ns (Subj) can be bare,No,German
739,S03_2 Indef Sg count Ns (Subj) can have an article,No,German
738,S03_3 Indef Sg count Ns (Subj) must have an article,Yes,German
740,S04_1 Indef Pl Ns (Subj) can be bare,Yes,German
742,S04_2 Indef Pl Ns (Subj) can have an article,No,German
741,S04_3 Indef Pl Ns (Subj) must have an article,No,German
838,S05_1 Def mass nouns (subject) can be bare,No,German
839,S05_2 Def mass nouns (subject) can have an article,No,German
840,S05_3 Def mass nouns (subject) must have an article,Yes,German
841,S06_1 Def sg count nouns (subject) can be bare,No,German
423,V2 01_Declarative Verb-Second,Yes,German
424,V2 02_Interrogative Verb-Second,Yes,German
374,V_Aux 01_Aux.Selection,Yes,German
512,Voc_PN_01 Can be bare?,Yes,German
514,Voc_PN_02 Can have an article,No,German
513,Voc_PN_03 Must have an article?,No,German
516,Voc_PN_04 Can have a special vocative marker?,Yes,German
515,Voc_PN_05 Must have a special vocative marker?,No,German
517,Voc_Pl_01 Can be bare?,Yes,German
519,Voc_Pl_02 Can have an article?,No,German
518,Voc_Pl_03 Must have an article?,No,German
521,Voc_Pl_04 Can have a special vocative marker?,Yes,German
