ID,Name,Value,Language
405,01_SV,Yes,Greek
404,02_VS,Yes,Greek
375,03_VO,Yes,Greek
376,04_OV,No,Greek
378,05_SVO,Yes,Greek
379,06_SOV,No,Greek
380,07_VSO,Yes,Greek
381,08_VOS,Yes,Greek
382,09_OSV,No,Greek
383,10_OVS,No,Greek
390,11_P NP,Yes,Greek
391,12_NP P,No,Greek
437,13_A N,Yes,Greek
377,14_N A,Yes,Greek
384,15_Num N,Yes,Greek
385,16_N Num,No,Greek
386,17_Dem N,Yes,Greek
387,18_N Dem,Yes,Greek
394,19_Poss N,No,Greek
395,20_N Poss,Yes,Greek
426,21_Pron.Poss N,No,Greek
425,22_N Pron.Poss,Yes,Greek
406,A 01_Attr.Adj Agr,Yes,Greek
407,A 02_Pred.Adj Agr ,Yes,Greek
396,A 03_Deg A,Yes,Greek
397,A 04_A Deg,No,Greek
388,C 01_C Clause,Yes,Greek
389,C 02_Clause C,No,Greek
392,C 03_Adv.Sub Clause,Yes,Greek
393,C 04_Clause Adv.Sub,No,Greek
408,Extra Examples,Yes,Greek
524,ISO 639-3 Code,ell,Greek
434,N2 01_Num N_(indef),Yes,Greek
433,N2 02_N Num_(indef),No,Greek
435,N2 03_Num N_(def),Yes,Greek
436,N2 04_N Num_(def),No,Greek
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Greek
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Greek
440,N2 F3_Def NumN or NNum can be bare,No,Greek
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Greek
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Greek
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Greek
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Greek
398,N3 01_ Dem A N,Yes,Greek
399,N3 02_Dem N A,Yes,Greek
403,N3 03_ N A Dem,No,Greek
402,N3 04_N Dem A,Yes,Greek
400,N3 05_A Dem N,Yes,Greek
401,N3 06_A N Dem,Yes,Greek
427,N3 07_Dem Num N,Yes,Greek
428,N3 08_Dem N Num,No,Greek
429,N3 09_ N Num Dem,Yes,Greek
430,N3 10_N Dem Num,Yes,Greek
431,N3 11_Num Dem N,Yes,Greek
432,N3 12_Num N Dem,Yes,Greek
415,Neg 01_ Neg is Part (...) Verb,Yes,Greek
416,Neg 02_Neg is V (...) Part,No,Greek
420,Neg 03_Dist.Neg of  Class/Property,No,Greek
419,Neg 04_Dist.Neg of identity,No,Greek
421,Neg 05_Dist Neg of Location,No,Greek
422,Neg 06_Dist.Neg of Existence,No,Greek
417,Neg F1_Neg is NegAux,No,Greek
418,Neg F2_ Neg is lexical V,No,Greek
412,Neg F3_Neg is Tonal,No,Greek
413,Neg F4_Neg is Tone and other modification,No,Greek
414,Neg F5_Neg is Reduplication,No,Greek
411,Neg F6_Neg is Infix,No,Greek
467,O 01 1_Indef Mass_Can be bare,Yes,Greek
469,O 01 2_Indef_Mass_Can have an article,No,Greek
468,O 01 3_Indef_Mass_Must have an article,No,Greek
470,O 02 1_Def_Mass _Can be bare,No,Greek
472,O 02 2_Def_Mass _Can  have an article,No,Greek
471,O 02 3_Def_Mass _Must have an article,Yes,Greek
501,O 02 4.1_DefMass_Art-N,Yes,Greek
502,O 02 4.2_DefMass_N-Art,No,Greek
474,O 03 1_Indef_Sg_Can be bare,Yes,Greek
473,O 03 2_Indef_Sg_Can have an article,Yes,Greek
475,O 03 3_Indef_Sg_Must have an article,No,Greek
476,O 03 4_Indef_Sg_Can have a plural reading,No,Greek
477,O 04 1_Def_Sg_Can be bare,No,Greek
479,O 04 2_Def_Sg_Can have an article,No,Greek
478,O 04 3_Def_Sg_Must have an article,Yes,Greek
503,O 04 4.1_DefSg_Art-N,Yes,Greek
504,O 04 4.2_DefSg_N-Art,No,Greek
480,O 05 1_Indef_Pl_Can be bare,Yes,Greek
482,O 05 2_Indef_Pl_Can have an article,No,Greek
481,O 05 3_Indef_Pl_Must have an article,No,Greek
483,O 06 1_Def_Pl_Can be bare,No,Greek
485,O 06 2_Def_Pl_Can have an article,No,Greek
484,O 06 3_Def_Pl_Must have an article,Yes,Greek
505,O 06 4.1_DefPl_Art-N,Yes,Greek
