ID,Name,Value,Language
405,01_SV,Yes,Hungarian
404,02_VS,Yes,Hungarian
375,03_VO,Yes,Hungarian
376,04_OV,Yes,Hungarian
378,05_SVO,Yes,Hungarian
379,06_SOV,Yes,Hungarian
380,07_VSO,Yes,Hungarian
381,08_VOS,No,Hungarian
382,09_OSV,No,Hungarian
383,10_OVS,No,Hungarian
390,11_P NP,No,Hungarian
391,12_NP P,Yes,Hungarian
437,13_A N,Yes,Hungarian
377,14_N A,No,Hungarian
384,15_Num N,Yes,Hungarian
385,16_N Num,No,Hungarian
386,17_Dem N,Yes,Hungarian
387,18_N Dem,No,Hungarian
394,19_Poss N,Yes,Hungarian
395,20_N Poss,No,Hungarian
426,21_Pron.Poss N,Yes,Hungarian
425,22_N Pron.Poss,No,Hungarian
406,A 01_Attr.Adj Agr,No,Hungarian
407,A 02_Pred.Adj Agr ,Yes,Hungarian
396,A 03_Deg A,Yes,Hungarian
397,A 04_A Deg,No,Hungarian
388,C 01_C Clause,Yes,Hungarian
389,C 02_Clause C,Yes,Hungarian
392,C 03_Adv.Sub Clause,Yes,Hungarian
393,C 04_Clause Adv.Sub,No,Hungarian
408,Extra Examples,Yes,Hungarian
524,ISO 639-3 Code,hun,Hungarian
434,N2 01_Num N_(indef),Yes,Hungarian
433,N2 02_N Num_(indef),No,Hungarian
435,N2 03_Num N_(def),Yes,Hungarian
436,N2 04_N Num_(def),No,Hungarian
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Hungarian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Hungarian
440,N2 F3_Def NumN or NNum can be bare,No,Hungarian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Hungarian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Hungarian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Hungarian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Hungarian
398,N3 01_ Dem A N,Yes,Hungarian
399,N3 02_Dem N A,No,Hungarian
403,N3 03_ N A Dem,No,Hungarian
402,N3 04_N Dem A,No,Hungarian
400,N3 05_A Dem N,No,Hungarian
401,N3 06_A N Dem,No,Hungarian
427,N3 07_Dem Num N,Yes,Hungarian
428,N3 08_Dem N Num,No,Hungarian
429,N3 09_ N Num Dem,No,Hungarian
430,N3 10_N Dem Num,No,Hungarian
431,N3 11_Num Dem N,No,Hungarian
432,N3 12_Num N Dem,No,Hungarian
415,Neg 01_ Neg is Part (...) Verb,Yes,Hungarian
416,Neg 02_Neg is V (...) Part,No,Hungarian
420,Neg 03_Dist.Neg of  Class/Property,No,Hungarian
419,Neg 04_Dist.Neg of identity,No,Hungarian
421,Neg 05_Dist Neg of Location,Yes,Hungarian
422,Neg 06_Dist.Neg of Existence,Yes,Hungarian
417,Neg F1_Neg is NegAux,No,Hungarian
418,Neg F2_ Neg is lexical V,Yes,Hungarian
412,Neg F3_Neg is Tonal,No,Hungarian
413,Neg F4_Neg is Tone and other modification,No,Hungarian
414,Neg F5_Neg is Reduplication,No,Hungarian
411,Neg F6_Neg is Infix,No,Hungarian
467,O 01 1_Indef Mass_Can be bare,Yes,Hungarian
469,O 01 2_Indef_Mass_Can have an article,No,Hungarian
468,O 01 3_Indef_Mass_Must have an article,No,Hungarian
470,O 02 1_Def_Mass _Can be bare,No,Hungarian
472,O 02 2_Def_Mass _Can  have an article,No,Hungarian
471,O 02 3_Def_Mass _Must have an article,Yes,Hungarian
474,O 03 1_Indef_Sg_Can be bare,Yes,Hungarian
473,O 03 2_Indef_Sg_Can have an article,No,Hungarian
475,O 03 3_Indef_Sg_Must have an article,No,Hungarian
476,O 03 4_Indef_Sg_Can have a plural reading,Yes,Hungarian
477,O 04 1_Def_Sg_Can be bare,No,Hungarian
479,O 04 2_Def_Sg_Can have an article,No,Hungarian
478,O 04 3_Def_Sg_Must have an article,Yes,Hungarian
480,O 05 1_Indef_Pl_Can be bare,Yes,Hungarian
482,O 05 2_Indef_Pl_Can have an article,No,Hungarian
481,O 05 3_Indef_Pl_Must have an article,No,Hungarian
483,O 06 1_Def_Pl_Can be bare,No,Hungarian
485,O 06 2_Def_Pl_Can have an article,No,Hungarian
484,O 06 3_Def_Pl_Must have an article,Yes,Hungarian
445,Q01_Initial polar Q-marker,No,Hungarian
446,Q02_Final polar Q-marker,No,Hungarian
447,Q03_Clause internal polar Q-marker,Yes,Hungarian
448,Q04_Polar question by intonation,Yes,Hungarian
449,Q05_Polar question by V-fronting,No,Hungarian
450,Q06_Polar question by Aux-fronting,NA,Hungarian
451,Q07_Q-marker follows narrow focus,No,Hungarian
452,Q08_Affirmative answer by particle,Yes,Hungarian
453,Q09_Affirmative answer by V,Yes,Hungarian
454,Q10_Affirmative answer by aux,NA,Hungarian
455,Q11_Affirmative answer by auxiliary and verb,NA,Hungarian
456,Q12_Affirmative answer by particle and verb,Yes,Hungarian
457,Q13_Affirmative answer by predicative 'be' ,No,Hungarian
458,Q14_Verb answer to indefinite subject question,Yes,Hungarian
459,Q15_Particle-and-verb answer to indefinite subject question,Yes,Hungarian
460,Q16_NEGA_Negative answer by special neg particle,No,Hungarian
461,Q17_NEGA_Neg answer by bare sentential negation,Yes,Hungarian
462,Q18_NEGA_Neg answer by sentential neg plus bare verb,Yes,Hungarian
463,Q19_ANegQ_Truth-based confirmation,No,Hungarian
464,Q20_ANegQ_Polarity-based confirmation,Yes,Hungarian
465,Q21_ANegQ_Polarity-reversing particle,Yes,Hungarian
466,Q22_ANegQ_Polarity-reversing answer by affirmative and special particle,Yes,Hungarian
423,V2 01_Declarative Verb-Second,No,Hungarian
424,V2 02_Interrogative Verb-Second,No,Hungarian
374,V_Aux 01_Aux.Selection,NA,Hungarian
523,latlong,"47.606163, 18.984375",Hungarian
