ID,Name,Value,Language
405,01_SV,Yes,Latin
404,02_VS,Yes,Latin
375,03_VO,Yes,Latin
376,04_OV,Yes,Latin
378,05_SVO,Yes,Latin
379,06_SOV,Yes,Latin
380,07_VSO,Yes,Latin
381,08_VOS,Yes,Latin
382,09_OSV,Yes,Latin
383,10_OVS,Yes,Latin
390,11_P NP,Yes,Latin
391,12_NP P,Yes,Latin
437,13_A N,Yes,Latin
377,14_N A,Yes,Latin
384,15_Num N,Yes,Latin
385,16_N Num,Yes,Latin
386,17_Dem N,Yes,Latin
387,18_N Dem,Yes,Latin
394,19_Poss N,Yes,Latin
395,20_N Poss,Yes,Latin
426,21_Pron.Poss N,Yes,Latin
425,22_N Pron.Poss,Yes,Latin
406,A 01_Attr.Adj Agr,Yes,Latin
407,A 02_Pred.Adj Agr ,Yes,Latin
396,A 03_Deg A,Yes,Latin
397,A 04_A Deg,Yes,Latin
388,C 01_C Clause,Yes,Latin
389,C 02_Clause C,No,Latin
392,C 03_Adv.Sub Clause,Yes,Latin
393,C 04_Clause Adv.Sub,No,Latin
408,Extra Examples,No,Latin
524,ISO 639-3 Code,lat,Latin
434,N2 01_Num N_(indef),Yes,Latin
433,N2 02_N Num_(indef),Yes,Latin
435,N2 03_Num N_(def),No,Latin
436,N2 04_N Num_(def),Yes,Latin
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Latin
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Latin
440,N2 F3_Def NumN or NNum can be bare,No,Latin
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Latin
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Latin
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Latin
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Latin
398,N3 01_ Dem A N,Yes,Latin
399,N3 02_Dem N A,Yes,Latin
403,N3 03_ N A Dem,No,Latin
402,N3 04_N Dem A,Yes,Latin
400,N3 05_A Dem N,Yes,Latin
427,N3 07_Dem Num N,Yes,Latin
428,N3 08_Dem N Num,Yes,Latin
431,N3 11_Num Dem N,Yes,Latin
415,Neg 01_ Neg is Part (...) Verb,Yes,Latin
416,Neg 02_Neg is V (...) Part,No,Latin
420,Neg 03_Dist.Neg of  Class/Property,No,Latin
419,Neg 04_Dist.Neg of identity,No,Latin
421,Neg 05_Dist Neg of Location,No,Latin
422,Neg 06_Dist.Neg of Existence,No,Latin
417,Neg F1_Neg is NegAux,No,Latin
418,Neg F2_ Neg is lexical V,No,Latin
412,Neg F3_Neg is Tonal,No,Latin
413,Neg F4_Neg is Tone and other modification,No,Latin
414,Neg F5_Neg is Reduplication,No,Latin
411,Neg F6_Neg is Infix,No,Latin
467,O 01 1_Indef Mass_Can be bare,Yes,Latin
469,O 01 2_Indef_Mass_Can have an article,No,Latin
468,O 01 3_Indef_Mass_Must have an article,No,Latin
470,O 02 1_Def_Mass _Can be bare,Yes,Latin
472,O 02 2_Def_Mass _Can  have an article,No,Latin
471,O 02 3_Def_Mass _Must have an article,No,Latin
501,O 02 4.1_DefMass_Art-N,No,Latin
502,O 02 4.2_DefMass_N-Art,No,Latin
474,O 03 1_Indef_Sg_Can be bare,Yes,Latin
473,O 03 2_Indef_Sg_Can have an article,No,Latin
475,O 03 3_Indef_Sg_Must have an article,No,Latin
476,O 03 4_Indef_Sg_Can have a plural reading,No,Latin
477,O 04 1_Def_Sg_Can be bare,Yes,Latin
479,O 04 2_Def_Sg_Can have an article,Yes,Latin
478,O 04 3_Def_Sg_Must have an article,No,Latin
503,O 04 4.1_DefSg_Art-N,No,Latin
504,O 04 4.2_DefSg_N-Art,No,Latin
480,O 05 1_Indef_Pl_Can be bare,Yes,Latin
482,O 05 2_Indef_Pl_Can have an article,No,Latin
481,O 05 3_Indef_Pl_Must have an article,No,Latin
483,O 06 1_Def_Pl_Can be bare,Yes,Latin
485,O 06 2_Def_Pl_Can have an article,Yes,Latin
484,O 06 3_Def_Pl_Must have an article,No,Latin
505,O 06 4.1_DefPl_Art-N,No,Latin
506,O 06 4.2_DefPl_N-Art,No,Latin
486,O 07 1_Unique Ref_Can be bare,Yes,Latin
488,O 07 2_Unique Ref_Can have an article,No,Latin
487,O 07 3_Unique Ref_Must have an article,No,Latin
489,O 07 4_Unique Ref_Must have a 'special article',No,Latin
490,O 08 1_PN_Can be bare,Yes,Latin
492,O 08 2_PN_Can have an article,No,Latin
491,O 08 3_PN_Must have an article,No,Latin
526,O 08 4_PN_Must have a 'special article',No,Latin
494,O 08 5.1_Art-PN,No,Latin
495,O 08 5.1_PN-Art,No,Latin
496,O 09 1_PN+A_Can be bare,Yes,Latin
498,O 09 2_PN+A_Can have an article,No,Latin
497,O 09 3_PN+A_Must have an article,No,Latin
499,O 09 4.1_ Adj-PN,Yes,Latin
500,O 09 5.2_ PN-Adj,Yes,Latin
445,Q01_Initial polar Q-marker,No,Latin
446,Q02_Final polar Q-marker,No,Latin
447,Q03_Clause internal polar Q-marker,Yes,Latin
448,Q04_Polar question by intonation,No,Latin
449,Q05_Polar question by V-fronting,No,Latin
450,Q06_Polar question by Aux-fronting,No,Latin
451,Q07_Q-marker follows narrow focus,No,Latin
452,Q08_Affirmative answer by particle,No,Latin
453,Q09_Affirmative answer by V,Yes,Latin
454,Q10_Affirmative answer by aux,No,Latin
455,Q11_Affirmative answer by auxiliary and verb,No,Latin
456,Q12_Affirmative answer by particle and verb,No,Latin
457,Q13_Affirmative answer by predicative 'be' ,No,Latin
458,Q14_Verb answer to indefinite subject question,Yes,Latin
459,Q15_Particle-and-verb answer to indefinite subject question,No,Latin
460,Q16_NEGA_Negative answer by special neg particle,No,Latin
461,Q17_NEGA_Neg answer by bare sentential negation,Yes,Latin
462,Q18_NEGA_Neg answer by sentential neg plus bare verb,Yes,Latin
463,Q19_ANegQ_Truth-based confirmation,NA,Latin
465,Q21_ANegQ_Polarity-reversing particle,No,Latin
466,Q22_ANegQ_Polarity-reversing answer by affirmative and special particle,No,Latin
729,S01A1_ Existential constructions: locative PP obligatory?,No,Latin
737,S03_1 Indef Sg count Ns (Subj) can be bare,Yes,Latin
740,S04_1 Indef Pl Ns (Subj) can be bare,Yes,Latin
742,S04_2 Indef Pl Ns (Subj) can have an article,No,Latin
741,S04_3 Indef Pl Ns (Subj) must have an article,No,Latin
423,V2 01_Declarative Verb-Second,No,Latin
424,V2 02_Interrogative Verb-Second,No,Latin
374,V_Aux 01_Aux.Selection,No,Latin
512,Voc_PN_01 Can be bare?,Yes,Latin
514,Voc_PN_02 Can have an article,Yes,Latin
513,Voc_PN_03 Must have an article?,No,Latin
516,Voc_PN_04 Can have a special vocative marker?,Yes,Latin
515,Voc_PN_05 Must have a special vocative marker?,Yes,Latin
517,Voc_Pl_01 Can be bare?,Yes,Latin
519,Voc_Pl_02 Can have an article?,No,Latin
518,Voc_Pl_03 Must have an article?,No,Latin
521,Voc_Pl_04 Can have a special vocative marker?,Yes,Latin
520,Voc_Pl_05 Must have a special vocative marker?,No,Latin
507,Voc_Sg_01 Can be bare?,Yes,Latin
509,Voc_Sg_02 Can have an article?,No,Latin
508,Voc_Sg_03 Must have an article?,No,Latin
511,Voc_Sg_04 Can have a special vocative marker?,No,Latin
510,Voc_Sg_05 Must have a special vocative marker?,No,Latin
523,latlong,"41.54,12.30",Latin
