ID,Name,Value,Language
405,01_SV,Yes,Norwegian_Nynorsk
404,02_VS,No,Norwegian_Nynorsk
375,03_VO,Yes,Norwegian_Nynorsk
376,04_OV,No,Norwegian_Nynorsk
378,05_SVO,Yes,Norwegian_Nynorsk
379,06_SOV,No,Norwegian_Nynorsk
380,07_VSO,No,Norwegian_Nynorsk
381,08_VOS,No,Norwegian_Nynorsk
382,09_OSV,No,Norwegian_Nynorsk
383,10_OVS,No,Norwegian_Nynorsk
390,11_P NP,Yes,Norwegian_Nynorsk
391,12_NP P,Yes,Norwegian_Nynorsk
437,13_A N,Yes,Norwegian_Nynorsk
377,14_N A,No,Norwegian_Nynorsk
384,15_Num N,Yes,Norwegian_Nynorsk
385,16_N Num,No,Norwegian_Nynorsk
386,17_Dem N,Yes,Norwegian_Nynorsk
387,18_N Dem,No,Norwegian_Nynorsk
394,19_Poss N,Yes,Norwegian_Nynorsk
395,20_N Poss,Yes,Norwegian_Nynorsk
426,21_Pron.Poss N,Yes,Norwegian_Nynorsk
425,22_N Pron.Poss,Yes,Norwegian_Nynorsk
406,A 01_Attr.Adj Agr,Yes,Norwegian_Nynorsk
407,A 02_Pred.Adj Agr ,Yes,Norwegian_Nynorsk
396,A 03_Deg A,Yes,Norwegian_Nynorsk
397,A 04_A Deg,Yes,Norwegian_Nynorsk
388,C 01_C Clause,Yes,Norwegian_Nynorsk
389,C 02_Clause C,No,Norwegian_Nynorsk
392,C 03_Adv.Sub Clause,Yes,Norwegian_Nynorsk
393,C 04_Clause Adv.Sub,No,Norwegian_Nynorsk
408,Extra Examples,No,Norwegian_Nynorsk
524,ISO 639-3 Code,nor,Norwegian_Nynorsk
434,N2 01_Num N_(indef),Yes,Norwegian_Nynorsk
433,N2 02_N Num_(indef),No,Norwegian_Nynorsk
435,N2 03_Num N_(def),Yes,Norwegian_Nynorsk
436,N2 04_N Num_(def),No,Norwegian_Nynorsk
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Norwegian_Nynorsk
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Norwegian_Nynorsk
440,N2 F3_Def NumN or NNum can be bare,No,Norwegian_Nynorsk
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Norwegian_Nynorsk
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Norwegian_Nynorsk
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Norwegian_Nynorsk
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",Yes,Norwegian_Nynorsk
398,N3 01_ Dem A N,Yes,Norwegian_Nynorsk
399,N3 02_Dem N A,No,Norwegian_Nynorsk
403,N3 03_ N A Dem,No,Norwegian_Nynorsk
402,N3 04_N Dem A,No,Norwegian_Nynorsk
400,N3 05_A Dem N,No,Norwegian_Nynorsk
401,N3 06_A N Dem,No,Norwegian_Nynorsk
427,N3 07_Dem Num N,Yes,Norwegian_Nynorsk
428,N3 08_Dem N Num,No,Norwegian_Nynorsk
429,N3 09_ N Num Dem,No,Norwegian_Nynorsk
430,N3 10_N Dem Num,No,Norwegian_Nynorsk
431,N3 11_Num Dem N,No,Norwegian_Nynorsk
432,N3 12_Num N Dem,No,Norwegian_Nynorsk
415,Neg 01_ Neg is Part (...) Verb,Yes,Norwegian_Nynorsk
416,Neg 02_Neg is V (...) Part,Yes,Norwegian_Nynorsk
