ID,Name,Value,Language
405,01_SV,Yes,Polish
404,02_VS,Yes,Polish
375,03_VO,Yes,Polish
376,04_OV,Yes,Polish
378,05_SVO,Yes,Polish
379,06_SOV,Yes,Polish
380,07_VSO,No,Polish
381,08_VOS,No,Polish
382,09_OSV,No,Polish
383,10_OVS,Yes,Polish
390,11_P NP,Yes,Polish
391,12_NP P,No,Polish
437,13_A N,Yes,Polish
377,14_N A,Yes,Polish
384,15_Num N,Yes,Polish
385,16_N Num,No,Polish
386,17_Dem N,Yes,Polish
387,18_N Dem,Yes,Polish
394,19_Poss N,No,Polish
395,20_N Poss,Yes,Polish
426,21_Pron.Poss N,Yes,Polish
425,22_N Pron.Poss,Yes,Polish
406,A 01_Attr.Adj Agr,Yes,Polish
407,A 02_Pred.Adj Agr ,Yes,Polish
396,A 03_Deg A,Yes,Polish
397,A 04_A Deg,No,Polish
388,C 01_C Clause,Yes,Polish
389,C 02_Clause C,No,Polish
392,C 03_Adv.Sub Clause,Yes,Polish
393,C 04_Clause Adv.Sub,No,Polish
408,Extra Examples,No,Polish
524,ISO 639-3 Code,pol,Polish
434,N2 01_Num N_(indef),Yes,Polish
433,N2 02_N Num_(indef),No,Polish
435,N2 03_Num N_(def),Yes,Polish
436,N2 04_N Num_(def),Yes,Polish
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Polish
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Polish
440,N2 F3_Def NumN or NNum can be bare,No,Polish
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Polish
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Polish
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Polish
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Polish
398,N3 01_ Dem A N,Yes,Polish
399,N3 02_Dem N A,Yes,Polish
403,N3 03_ N A Dem,No,Polish
402,N3 04_N Dem A,Yes,Polish
400,N3 05_A Dem N,No,Polish
401,N3 06_A N Dem,No,Polish
427,N3 07_Dem Num N,Yes,Polish
428,N3 08_Dem N Num,No,Polish
429,N3 09_ N Num Dem,No,Polish
430,N3 10_N Dem Num,No,Polish
431,N3 11_Num Dem N,Yes,Polish
432,N3 12_Num N Dem,No,Polish
415,Neg 01_ Neg is Part (...) Verb,Yes,Polish
416,Neg 02_Neg is V (...) Part,No,Polish
420,Neg 03_Dist.Neg of  Class/Property,No,Polish
419,Neg 04_Dist.Neg of identity,No,Polish
421,Neg 05_Dist Neg of Location,No,Polish
422,Neg 06_Dist.Neg of Existence,No,Polish
417,Neg F1_Neg is NegAux,No,Polish
418,Neg F2_ Neg is lexical V,No,Polish
412,Neg F3_Neg is Tonal,No,Polish
413,Neg F4_Neg is Tone and other modification,No,Polish
414,Neg F5_Neg is Reduplication,No,Polish
411,Neg F6_Neg is Infix,No,Polish
445,Q01_Initial polar Q-marker,Yes,Polish
446,Q02_Final polar Q-marker,No,Polish
447,Q03_Clause internal polar Q-marker,No,Polish
448,Q04_Polar question by intonation,Yes,Polish
449,Q05_Polar question by V-fronting,Yes,Polish
450,Q06_Polar question by Aux-fronting,Yes,Polish
451,Q07_Q-marker follows narrow focus,No,Polish
452,Q08_Affirmative answer by particle,Yes,Polish
453,Q09_Affirmative answer by V,Yes,Polish
454,Q10_Affirmative answer by aux,Yes,Polish
455,Q11_Affirmative answer by auxiliary and verb,No,Polish
456,Q12_Affirmative answer by particle and verb,Yes,Polish
457,Q13_Affirmative answer by predicative 'be' ,No,Polish
423,V2 01_Declarative Verb-Second,No,Polish
424,V2 02_Interrogative Verb-Second,No,Polish
374,V_Aux 01_Aux.Selection,No,Polish
523,latlong,"52.23,21.01",Polish
