ID,Name,Value,Language
405,01_SV,Yes,Romanian
404,02_VS,Yes,Romanian
375,03_VO,Yes,Romanian
376,04_OV,No,Romanian
378,05_SVO,Yes,Romanian
379,06_SOV,No,Romanian
380,07_VSO,Yes,Romanian
381,08_VOS,Yes,Romanian
382,09_OSV,No,Romanian
383,10_OVS,No,Romanian
390,11_P NP,Yes,Romanian
391,12_NP P,No,Romanian
437,13_A N,Yes,Romanian
377,14_N A,Yes,Romanian
384,15_Num N,Yes,Romanian
385,16_N Num,No,Romanian
386,17_Dem N,Yes,Romanian
387,18_N Dem,Yes,Romanian
394,19_Poss N,No,Romanian
395,20_N Poss,Yes,Romanian
426,21_Pron.Poss N,No,Romanian
425,22_N Pron.Poss,Yes,Romanian
406,A 01_Attr.Adj Agr,Yes,Romanian
407,A 02_Pred.Adj Agr ,Yes,Romanian
396,A 03_Deg A,Yes,Romanian
397,A 04_A Deg,No,Romanian
388,C 01_C Clause,Yes,Romanian
389,C 02_Clause C,No,Romanian
392,C 03_Adv.Sub Clause,Yes,Romanian
393,C 04_Clause Adv.Sub,No,Romanian
408,Extra Examples,Yes,Romanian
524,ISO 639-3 Code,ron,Romanian
434,N2 01_Num N_(indef),Yes,Romanian
433,N2 02_N Num_(indef),No,Romanian
435,N2 03_Num N_(def),Yes,Romanian
436,N2 04_N Num_(def),Yes,Romanian
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Romanian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Romanian
440,N2 F3_Def NumN or NNum can be bare,No,Romanian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Romanian
442,N2 F5_Def NumN or NNum differs from Indef NumN,Yes,Romanian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Romanian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Romanian
398,N3 01_ Dem A N,Yes,Romanian
399,N3 02_Dem N A,Yes,Romanian
403,N3 03_ N A Dem,No,Romanian
402,N3 04_N Dem A,Yes,Romanian
400,N3 05_A Dem N,No,Romanian
