ID,Name,Value,Language
405,01_SV,Yes,Russian
404,02_VS,Yes,Russian
375,03_VO,Yes,Russian
376,04_OV,Yes,Russian
378,05_SVO,Yes,Russian
379,06_SOV,No,Russian
380,07_VSO,No,Russian
381,08_VOS,No,Russian
382,09_OSV,No,Russian
383,10_OVS,No,Russian
390,11_P NP,Yes,Russian
391,12_NP P,No,Russian
437,13_A N,Yes,Russian
377,14_N A,Yes,Russian
384,15_Num N,Yes,Russian
385,16_N Num,No,Russian
386,17_Dem N,Yes,Russian
387,18_N Dem,No,Russian
394,19_Poss N,Yes,Russian
395,20_N Poss,Yes,Russian
426,21_Pron.Poss N,Yes,Russian
425,22_N Pron.Poss,Yes,Russian
406,A 01_Attr.Adj Agr,Yes,Russian
407,A 02_Pred.Adj Agr ,Yes,Russian
396,A 03_Deg A,Yes,Russian
397,A 04_A Deg,No,Russian
388,C 01_C Clause,Yes,Russian
389,C 02_Clause C,No,Russian
392,C 03_Adv.Sub Clause,Yes,Russian
393,C 04_Clause Adv.Sub,No,Russian
408,Extra Examples,Yes,Russian
524,ISO 639-3 Code,rus,Russian
434,N2 01_Num N_(indef),Yes,Russian
433,N2 02_N Num_(indef),Yes,Russian
435,N2 03_Num N_(def),Yes,Russian
436,N2 04_N Num_(def),No,Russian
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Russian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Russian
440,N2 F3_Def NumN or NNum can be bare,No,Russian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Russian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Russian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Russian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Russian
398,N3 01_ Dem A N,Yes,Russian
399,N3 02_Dem N A,No,Russian
403,N3 03_ N A Dem,No,Russian
402,N3 04_N Dem A,No,Russian
400,N3 05_A Dem N,No,Russian
401,N3 06_A N Dem,No,Russian
427,N3 07_Dem Num N,Yes,Russian
428,N3 08_Dem N Num,Yes,Russian
429,N3 09_ N Num Dem,No,Russian
430,N3 10_N Dem Num,No,Russian
431,N3 11_Num Dem N,Yes,Russian
432,N3 12_Num N Dem,Yes,Russian
415,Neg 01_ Neg is Part (...) Verb,Yes,Russian
416,Neg 02_Neg is V (...) Part,No,Russian
