ID,Name,Value,Language
405,01_SV,Yes,Serbian
404,02_VS,Yes,Serbian
375,03_VO,Yes,Serbian
376,04_OV,Yes,Serbian
378,05_SVO,Yes,Serbian
379,06_SOV,Yes,Serbian
380,07_VSO,No,Serbian
381,08_VOS,No,Serbian
382,09_OSV,No,Serbian
383,10_OVS,No,Serbian
390,11_P NP,Yes,Serbian
391,12_NP P,No,Serbian
437,13_A N,Yes,Serbian
377,14_N A,Yes,Serbian
384,15_Num N,Yes,Serbian
385,16_N Num,No,Serbian
386,17_Dem N,Yes,Serbian
387,18_N Dem,No,Serbian
394,19_Poss N,Yes,Serbian
395,20_N Poss,Yes,Serbian
426,21_Pron.Poss N,Yes,Serbian
425,22_N Pron.Poss,No,Serbian
406,A 01_Attr.Adj Agr,Yes,Serbian
407,A 02_Pred.Adj Agr ,Yes,Serbian
396,A 03_Deg A,Yes,Serbian
397,A 04_A Deg,Yes,Serbian
388,C 01_C Clause,Yes,Serbian
389,C 02_Clause C,No,Serbian
392,C 03_Adv.Sub Clause,Yes,Serbian
393,C 04_Clause Adv.Sub,No,Serbian
408,Extra Examples,No,Serbian
524,ISO 639-3 Code,srp,Serbian
434,N2 01_Num N_(indef),Yes,Serbian
433,N2 02_N Num_(indef),No,Serbian
435,N2 03_Num N_(def),Yes,Serbian
436,N2 04_N Num_(def),No,Serbian
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Serbian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Serbian
440,N2 F3_Def NumN or NNum can be bare,Yes,Serbian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Serbian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Serbian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Serbian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Serbian
398,N3 01_ Dem A N,Yes,Serbian
399,N3 02_Dem N A,No,Serbian
403,N3 03_ N A Dem,No,Serbian
402,N3 04_N Dem A,No,Serbian
400,N3 05_A Dem N,No,Serbian
401,N3 06_A N Dem,No,Serbian
427,N3 07_Dem Num N,Yes,Serbian
428,N3 08_Dem N Num,No,Serbian
429,N3 09_ N Num Dem,No,Serbian
430,N3 10_N Dem Num,No,Serbian
431,N3 11_Num Dem N,Yes,Serbian
