ID,Name,Value,Language
405,01_SV,Yes,Spanish
404,02_VS,Yes,Spanish
375,03_VO,Yes,Spanish
376,04_OV,No,Spanish
378,05_SVO,Yes,Spanish
379,06_SOV,No,Spanish
380,07_VSO,No,Spanish
381,08_VOS,No,Spanish
382,09_OSV,No,Spanish
383,10_OVS,No,Spanish
390,11_P NP,Yes,Spanish
391,12_NP P,No,Spanish
437,13_A N,Yes,Spanish
377,14_N A,Yes,Spanish
384,15_Num N,Yes,Spanish
385,16_N Num,No,Spanish
386,17_Dem N,Yes,Spanish
387,18_N Dem,No,Spanish
394,19_Poss N,No,Spanish
395,20_N Poss,Yes,Spanish
426,21_Pron.Poss N,Yes,Spanish
425,22_N Pron.Poss,Yes,Spanish
406,A 01_Attr.Adj Agr,Yes,Spanish
407,A 02_Pred.Adj Agr ,Yes,Spanish
396,A 03_Deg A,Yes,Spanish
397,A 04_A Deg,No,Spanish
388,C 01_C Clause,Yes,Spanish
389,C 02_Clause C,No,Spanish
392,C 03_Adv.Sub Clause,Yes,Spanish
393,C 04_Clause Adv.Sub,No,Spanish
408,Extra Examples,Yes,Spanish
524,ISO 639-3 Code,spa,Spanish
434,N2 01_Num N_(indef),Yes,Spanish
433,N2 02_N Num_(indef),No,Spanish
435,N2 03_Num N_(def),Yes,Spanish
436,N2 04_N Num_(def),No,Spanish
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Spanish
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Spanish
440,N2 F3_Def NumN or NNum can be bare,No,Spanish
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Spanish
817,"N2 F4b_Indef Num N marks plural, but Def Num N does not.",No,Spanish
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Spanish
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Spanish
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Spanish
398,N3 01_ Dem A N,Yes,Spanish
399,N3 02_Dem N A,Yes,Spanish
403,N3 03_ N A Dem,No,Spanish
402,N3 04_N Dem A,No,Spanish
400,N3 05_A Dem N,No,Spanish
401,N3 06_A N Dem,No,Spanish
427,N3 07_Dem Num N,Yes,Spanish
428,N3 08_Dem N Num,No,Spanish
429,N3 09_ N Num Dem,No,Spanish
430,N3 10_N Dem Num,No,Spanish
431,N3 11_Num Dem N,No,Spanish
432,N3 12_Num N Dem,Yes,Spanish
415,Neg 01_ Neg is Part (...) Verb,Yes,Spanish
416,Neg 02_Neg is V (...) Part,No,Spanish
420,Neg 03_Dist.Neg of  Class/Property,No,Spanish
419,Neg 04_Dist.Neg of identity,No,Spanish
421,Neg 05_Dist Neg of Location,No,Spanish
422,Neg 06_Dist.Neg of Existence,No,Spanish
417,Neg F1_Neg is NegAux,No,Spanish
418,Neg F2_ Neg is lexical V,No,Spanish
412,Neg F3_Neg is Tonal,No,Spanish
413,Neg F4_Neg is Tone and other modification,No,Spanish
414,Neg F5_Neg is Reduplication,No,Spanish
411,Neg F6_Neg is Infix,No,Spanish
467,O 01 1_Indef Mass_Can be bare,Yes,Spanish
469,O 01 2_Indef_Mass_Can have an article,No,Spanish
468,O 01 3_Indef_Mass_Must have an article,No,Spanish
470,O 02 1_Def_Mass _Can be bare,No,Spanish
472,O 02 2_Def_Mass _Can  have an article,No,Spanish
471,O 02 3_Def_Mass _Must have an article,Yes,Spanish
501,O 02 4.1_DefMass_Art-N,Yes,Spanish
502,O 02 4.2_DefMass_N-Art,No,Spanish
474,O 03 1_Indef_Sg_Can be bare,No,Spanish
473,O 03 2_Indef_Sg_Can have an article,No,Spanish
475,O 03 3_Indef_Sg_Must have an article,Yes,Spanish
476,O 03 4_Indef_Sg_Can have a plural reading,No,Spanish
477,O 04 1_Def_Sg_Can be bare,No,Spanish
479,O 04 2_Def_Sg_Can have an article,No,Spanish
478,O 04 3_Def_Sg_Must have an article,Yes,Spanish
503,O 04 4.1_DefSg_Art-N,Yes,Spanish
504,O 04 4.2_DefSg_N-Art,No,Spanish
480,O 05 1_Indef_Pl_Can be bare,Yes,Spanish
482,O 05 2_Indef_Pl_Can have an article,Yes,Spanish
481,O 05 3_Indef_Pl_Must have an article,No,Spanish
483,O 06 1_Def_Pl_Can be bare,No,Spanish
485,O 06 2_Def_Pl_Can have an article,No,Spanish
484,O 06 3_Def_Pl_Must have an article,Yes,Spanish
505,O 06 4.1_DefPl_Art-N,Yes,Spanish
506,O 06 4.2_DefPl_N-Art,No,Spanish
486,O 07 1_Unique Ref_Can be bare,No,Spanish
488,O 07 2_Unique Ref_Can have an article,No,Spanish
487,O 07 3_Unique Ref_Must have an article,Yes,Spanish
489,O 07 4_Unique Ref_Must have a 'special article',No,Spanish
490,O 08 1_PN_Can be bare,Yes,Spanish
492,O 08 2_PN_Can have an article,Yes,Spanish
