ID,Name,Value,Language
405,01_SV,Yes,Swedish
404,02_VS,No,Swedish
375,03_VO,Yes,Swedish
376,04_OV,No,Swedish
378,05_SVO,Yes,Swedish
379,06_SOV,No,Swedish
380,07_VSO,No,Swedish
381,08_VOS,No,Swedish
382,09_OSV,No,Swedish
383,10_OVS,No,Swedish
390,11_P NP,Yes,Swedish
391,12_NP P,No,Swedish
437,13_A N,Yes,Swedish
377,14_N A,No,Swedish
384,15_Num N,Yes,Swedish
385,16_N Num,No,Swedish
386,17_Dem N,Yes,Swedish
387,18_N Dem,No,Swedish
394,19_Poss N,Yes,Swedish
395,20_N Poss,Yes,Swedish
426,21_Pron.Poss N,Yes,Swedish
425,22_N Pron.Poss,No,Swedish
406,A 01_Attr.Adj Agr,Yes,Swedish
407,A 02_Pred.Adj Agr ,Yes,Swedish
396,A 03_Deg A,Yes,Swedish
397,A 04_A Deg,Yes,Swedish
388,C 01_C Clause,Yes,Swedish
389,C 02_Clause C,No,Swedish
392,C 03_Adv.Sub Clause,Yes,Swedish
393,C 04_Clause Adv.Sub,No,Swedish
408,Extra Examples,No,Swedish
524,ISO 639-3 Code,swe,Swedish
434,N2 01_Num N_(indef),Yes,Swedish
433,N2 02_N Num_(indef),No,Swedish
435,N2 03_Num N_(def),Yes,Swedish
436,N2 04_N Num_(def),No,Swedish
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,Swedish
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Swedish
440,N2 F3_Def NumN or NNum can be bare,No,Swedish
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Swedish
817,"N2 F4b_Indef Num N marks plural, but Def Num N does not.",No,Swedish
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Swedish
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Swedish
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",Yes,Swedish
398,N3 01_ Dem A N,Yes,Swedish
399,N3 02_Dem N A,No,Swedish
403,N3 03_ N A Dem,No,Swedish
402,N3 04_N Dem A,No,Swedish
400,N3 05_A Dem N,No,Swedish
401,N3 06_A N Dem,No,Swedish
427,N3 07_Dem Num N,Yes,Swedish
428,N3 08_Dem N Num,No,Swedish
429,N3 09_ N Num Dem,No,Swedish
430,N3 10_N Dem Num,No,Swedish
431,N3 11_Num Dem N,No,Swedish
432,N3 12_Num N Dem,No,Swedish
415,Neg 01_ Neg is Part (...) Verb,Yes,Swedish
416,Neg 02_Neg is V (...) Part,Yes,Swedish
420,Neg 03_Dist.Neg of  Class/Property,No,Swedish
419,Neg 04_Dist.Neg of identity,No,Swedish
421,Neg 05_Dist Neg of Location,No,Swedish
422,Neg 06_Dist.Neg of Existence,No,Swedish
417,Neg F1_Neg is NegAux,No,Swedish
418,Neg F2_ Neg is lexical V,No,Swedish
412,Neg F3_Neg is Tonal,No,Swedish
413,Neg F4_Neg is Tone and other modification,No,Swedish
414,Neg F5_Neg is Reduplication,No,Swedish
411,Neg F6_Neg is Infix,No,Swedish
467,O 01 1_Indef Mass_Can be bare,Yes,Swedish
469,O 01 2_Indef_Mass_Can have an article,No,Swedish
468,O 01 3_Indef_Mass_Must have an article,No,Swedish
470,O 02 1_Def_Mass _Can be bare,No,Swedish
472,O 02 2_Def_Mass _Can  have an article,No,Swedish
471,O 02 3_Def_Mass _Must have an article,Yes,Swedish
501,O 02 4.1_DefMass_Art-N,No,Swedish
502,O 02 4.2_DefMass_N-Art,Yes,Swedish
474,O 03 1_Indef_Sg_Can be bare,No,Swedish
473,O 03 2_Indef_Sg_Can have an article,No,Swedish
475,O 03 3_Indef_Sg_Must have an article,Yes,Swedish
476,O 03 4_Indef_Sg_Can have a plural reading,No,Swedish
477,O 04 1_Def_Sg_Can be bare,No,Swedish
479,O 04 2_Def_Sg_Can have an article,No,Swedish
478,O 04 3_Def_Sg_Must have an article,Yes,Swedish
480,O 05 1_Indef_Pl_Can be bare,Yes,Swedish
482,O 05 2_Indef_Pl_Can have an article,No,Swedish
481,O 05 3_Indef_Pl_Must have an article,No,Swedish
483,O 06 1_Def_Pl_Can be bare,No,Swedish
485,O 06 2_Def_Pl_Can have an article,No,Swedish
