ID,Name,Value,Language
405,01_SV,Yes,Ukrainian
404,02_VS,Yes,Ukrainian
375,03_VO,Yes,Ukrainian
376,04_OV,Yes,Ukrainian
378,05_SVO,Yes,Ukrainian
379,06_SOV,No,Ukrainian
380,07_VSO,No,Ukrainian
381,08_VOS,No,Ukrainian
382,09_OSV,No,Ukrainian
383,10_OVS,No,Ukrainian
390,11_P NP,Yes,Ukrainian
391,12_NP P,No,Ukrainian
437,13_A N,Yes,Ukrainian
377,14_N A,No,Ukrainian
384,15_Num N,Yes,Ukrainian
385,16_N Num,No,Ukrainian
386,17_Dem N,Yes,Ukrainian
387,18_N Dem,No,Ukrainian
394,19_Poss N,Yes,Ukrainian
395,20_N Poss,Yes,Ukrainian
426,21_Pron.Poss N,Yes,Ukrainian
425,22_N Pron.Poss,No,Ukrainian
406,A 01_Attr.Adj Agr,Yes,Ukrainian
407,A 02_Pred.Adj Agr ,Yes,Ukrainian
396,A 03_Deg A,Yes,Ukrainian
397,A 04_A Deg,No,Ukrainian
388,C 01_C Clause,Yes,Ukrainian
389,C 02_Clause C,No,Ukrainian
392,C 03_Adv.Sub Clause,Yes,Ukrainian
393,C 04_Clause Adv.Sub,No,Ukrainian
408,Extra Examples,NA,Ukrainian
524,ISO 639-3 Code,ukr,Ukrainian
434,N2 01_Num N_(indef),Yes,Ukrainian
433,N2 02_N Num_(indef),Yes,Ukrainian
435,N2 03_Num N_(def),Yes,Ukrainian
436,N2 04_N Num_(def),No,Ukrainian
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Ukrainian
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Ukrainian
440,N2 F3_Def NumN or NNum can be bare,Yes,Ukrainian
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Ukrainian
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Ukrainian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Ukrainian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Ukrainian
398,N3 01_ Dem A N,Yes,Ukrainian
399,N3 02_Dem N A,No,Ukrainian
403,N3 03_ N A Dem,No,Ukrainian
402,N3 04_N Dem A,No,Ukrainian
400,N3 05_A Dem N,No,Ukrainian
401,N3 06_A N Dem,No,Ukrainian
427,N3 07_Dem Num N,Yes,Ukrainian
428,N3 08_Dem N Num,No,Ukrainian
429,N3 09_ N Num Dem,No,Ukrainian
430,N3 10_N Dem Num,No,Ukrainian
431,N3 11_Num Dem N,Yes,Ukrainian
432,N3 12_Num N Dem,No,Ukrainian
415,Neg 01_ Neg is Part (...) Verb,Yes,Ukrainian
416,Neg 02_Neg is V (...) Part,No,Ukrainian
420,Neg 03_Dist.Neg of  Class/Property,No,Ukrainian
419,Neg 04_Dist.Neg of identity,No,Ukrainian
421,Neg 05_Dist Neg of Location,No,Ukrainian
422,Neg 06_Dist.Neg of Existence,No,Ukrainian
417,Neg F1_Neg is NegAux,No,Ukrainian
418,Neg F2_ Neg is lexical V,No,Ukrainian
412,Neg F3_Neg is Tonal,No,Ukrainian
413,Neg F4_Neg is Tone and other modification,No,Ukrainian
414,Neg F5_Neg is Reduplication,No,Ukrainian
411,Neg F6_Neg is Infix,No,Ukrainian
423,V2 01_Declarative Verb-Second,No,Ukrainian
424,V2 02_Interrogative Verb-Second,No,Ukrainian
374,V_Aux 01_Aux.Selection,NA,Ukrainian
523,latlong,"48,32",Ukrainian
