model	language	task	perturbation	probing_location	dev_acc	test_acc
XLM-RoBERTa	Afrikaans	number_noun	next1	first	0.8692857142857143	0.7728571428571429
XLM-RoBERTa	Afrikaans	number_noun	permute	first	0.8321428571428572	0.7792857142857142
XLM-RoBERTa	Afrikaans	number_noun	permute	last	0.9657142857142856	0.9671428571428571
XLM-RoBERTa	Afrikaans	number_noun	prev1	last	0.9114285714285714	0.8728571428571429
XLM-RoBERTa	Afrikaans	number_noun		first	0.8957142857142858	0.8250000000000001
XLM-RoBERTa	Afrikaans	number_noun		last	0.9657142857142856	0.9742857142857143
XLM-RoBERTa	Albanian	case_noun	next1	first	0.6835714285714286	0.5914285714285714
XLM-RoBERTa	Albanian	case_noun	permute	first	0.4521428571428571	0.41714285714285715
XLM-RoBERTa	Albanian	case_noun	permute	last	0.5678571428571428	0.5678571428571428
XLM-RoBERTa	Albanian	case_noun	prev1	last	0.6028571428571429	0.5757142857142857
XLM-RoBERTa	Albanian	case_noun		first	0.5985714285714285	0.5657142857142857
XLM-RoBERTa	Albanian	case_noun		last	0.7435714285714285	0.7135714285714286
XLM-RoBERTa	Albanian	case_propn	next1	first	0.8208955223880597	0.7864285714285714
XLM-RoBERTa	Albanian	case_propn	permute	first	0.6744847192608387	0.635
XLM-RoBERTa	Albanian	case_propn	permute	last	0.8557213930348259	0.8071428571428572
XLM-RoBERTa	Albanian	case_propn	prev1	last	0.8493248045486851	0.7885714285714286
XLM-RoBERTa	Albanian	case_propn		first	0.8088130774697939	0.7642857142857142
XLM-RoBERTa	Albanian	case_propn		last	0.8941009239516703	0.84
XLM-RoBERTa	Albanian	definite_noun	next1	first	0.8542857142857142	0.8542857142857142
XLM-RoBERTa	Albanian	definite_noun	permute	first	0.7935714285714287	0.7464285714285713
XLM-RoBERTa	Albanian	definite_noun	permute	last	0.8871428571428571	0.8735714285714286
XLM-RoBERTa	Albanian	definite_noun	prev1	last	0.8764285714285714	0.8442857142857143
XLM-RoBERTa	Albanian	definite_noun		first	0.87	0.8335714285714285
XLM-RoBERTa	Albanian	definite_noun		last	0.9342857142857143	0.9057142857142857
XLM-RoBERTa	Albanian	gender_noun	next1	first	0.8207142857142856	0.7542857142857143
XLM-RoBERTa	Albanian	gender_noun	permute	first	0.7614285714285715	0.6950000000000001
XLM-RoBERTa	Albanian	gender_noun	permute	last	0.8521428571428571	0.8428571428571427
XLM-RoBERTa	Albanian	gender_noun	prev1	last	0.8728571428571429	0.7742857142857142
XLM-RoBERTa	Albanian	gender_noun		first	0.8264285714285714	0.7242857142857143
XLM-RoBERTa	Albanian	gender_noun		last	0.8635714285714285	0.8528571428571429
XLM-RoBERTa	Albanian	gender_propn	next1	first	0.86	0.7328571428571429
XLM-RoBERTa	Albanian	gender_propn	permute	first	0.8057142857142858	0.7164285714285714
XLM-RoBERTa	Albanian	gender_propn	permute	last	0.8828571428571428	0.7978571428571428
XLM-RoBERTa	Albanian	gender_propn	prev1	last	0.8728571428571429	0.7114285714285714
XLM-RoBERTa	Albanian	gender_propn		first	0.8521428571428571	0.7692857142857142
XLM-RoBERTa	Albanian	gender_propn		last	0.9042857142857142	0.8021428571428572
XLM-RoBERTa	Albanian	number_noun	next1	first	0.8885714285714286	0.88
XLM-RoBERTa	Albanian	number_noun	permute	first	0.8035714285714286	0.7985714285714286
XLM-RoBERTa	Albanian	number_noun	permute	last	0.8971428571428571	0.8557142857142858
XLM-RoBERTa	Albanian	number_noun	prev1	last	0.9192857142857144	0.8721428571428572
XLM-RoBERTa	Albanian	number_noun		first	0.865	0.8685714285714285
XLM-RoBERTa	Albanian	number_noun		last	0.9364285714285714	0.9014285714285715
XLM-RoBERTa	Albanian	number_verb	next1	first	0.8307142857142856	0.7892857142857144
XLM-RoBERTa	Albanian	number_verb	permute	first	0.6478571428571429	0.6914285714285714
XLM-RoBERTa	Albanian	number_verb	permute	last	0.9142857142857144	0.9078571428571429
XLM-RoBERTa	Albanian	number_verb	prev1	last	0.755	0.7814285714285715
XLM-RoBERTa	Albanian	number_verb		first	0.7135714285714286	0.6900000000000001
XLM-RoBERTa	Albanian	number_verb		last	0.9257142857142858	0.9121428571428571
XLM-RoBERTa	Arabic	aspect_verb	next1	first	0.965	0.9457142857142856
XLM-RoBERTa	Arabic	aspect_verb	permute	first	0.9471428571428572	0.9478571428571428
XLM-RoBERTa	Arabic	aspect_verb	permute	last	0.9192857142857144	0.9299999999999999
XLM-RoBERTa	Arabic	aspect_verb	prev1	last	0.9507142857142856	0.9421428571428571
XLM-RoBERTa	Arabic	aspect_verb		first	0.9614285714285714	0.9707142857142858
XLM-RoBERTa	Arabic	aspect_verb		last	0.945	0.975
XLM-RoBERTa	Arabic	case_adj	next1	first	0.6858564321250888	0.634683724235963
XLM-RoBERTa	Arabic	case_adj	permute	first	0.5856432125088842	0.5124378109452736
XLM-RoBERTa	Arabic	case_adj	permute	last	0.5721393034825871	0.5849324804548685
XLM-RoBERTa	Arabic	case_adj	prev1	last	0.6872778962331202	0.6332622601279317
XLM-RoBERTa	Arabic	case_adj		first	0.7718550106609808	0.6560056858564322
XLM-RoBERTa	Arabic	case_adj		last	0.8052594171997157	0.7299218194740583
XLM-RoBERTa	Arabic	case_noun	next1	first	0.720682302771855	0.6936744847192609
XLM-RoBERTa	Arabic	case_noun	permute	first	0.5216773276474769	0.457000710732054
